,emoji,meanings_en,meanings_ru
18,☺️,"[""smiling face"", ""happy face"", ""smiley face"", ""smiling""]","[""улыбка лица"", ""счастливое лицо"", ""улыбчивое лицо"", ""улыбка""]"
19,☺,"[""smiling face"", ""happy face"", ""smiley face"", ""smiling""]","[""улыбка лица"", ""счастливое лицо"", ""улыбчивое лицо"", ""улыбка""]"
20,😚,"[""kissing closed eyes"", ""kiss face"", ""kissy face""]","[""поцелуй закрытые глаза"", ""поцелуй лицо"", ""поцелуй лицо""]"
21,😙,"[""kissing smiling eyes"", ""kiss face"", ""kissy"", ""whistle"", ""whistling""]","[""поцелуи улыбающиеся глаза"", ""поцелуй лицо"", ""поцелуй"", ""виски"", ""свисание""]"
22,🥲,"[""smiling tear""]","[""улыбаясь слеза""]"
23,😋,"[""face savoring food"", ""goofy"", ""hungry""]","[""лицо священное питание"", ""Гоофи"", ""голодный""]"
24,😛,"[""tongue"", ""cheeky"", ""tongue face"", ""tongue-out""]","[""язык"", ""Чик"", ""язык лицо"", ""Язык-выход""]"
25,😜,"[""winking tongue"", ""crazy"", ""crazy face""]","[""язык победы"", ""сумасшедший"", ""сумасшедшее лицо""]"
26,🤪,"[""zany face"", ""crazy eyes"", ""excited"", ""wild""]","[""zany лицо"", ""сумасшедшие глаза"", ""взволнованы"", ""дикая""]"
27,😝,"[""squinting tongue"", ""tongue out""]","[""пайет язык"", ""язык вне""]"
28,🤑,"[""money-mouth face"", ""dollar sign eyes"", ""money face"", ""rich""]","[""money-mouth лицо"", ""доллар знак глаза"", ""деньги лицо"", ""богатый""]"
29,🤗,"[""smiling open hands"", ""hug"", ""hugging"", ""hugs""]","[""улыбающиеся открытые руки"", ""авг"", ""Хугугинг"", ""объятия""]"
30,🤭,"[""hand over mouth""]","[""рука над ртом""]"
31,🤫,"[""shushing face"", ""hush"", ""quiet"", ""shh""]","[""шлифовка лица"", ""хуш"", ""тихий"", ""Ш""]"
32,🤔,"[""thinking face"", ""chin thumb"", ""thinker"", ""throwing shade""]","[""мышление лицо"", ""китайский палец"", ""мыслитель"", ""бросая оттенок""]"
33,🤐,"[""zipper-mouth face"", ""lips sealed"", ""sealed lips"", ""zip it""]","[""Застежка на молнию"", ""губы загерметизированы"", ""закрытые губы"", ""zip его""]"
34,🤨,"[""raised eyebrow"", ""colbert"", ""the rock""]","[""поднял брови"", ""Колберт"", ""рок""]"
35,😐,"[""neutral face"", ""straight mouth"", ""straight faced""]","[""нейтральное лицо"", ""прямой рот"", ""прямое лицо""]"
36,😑,"[""expressionless face"", ""straight mouth"", ""straight face""]","[""бессрочное лицо"", ""прямой рот"", ""прямое лицо""]"
37,😶,"[""face without mouth"", ""blank face"", ""mouthless"", ""silence"", ""silent""]","[""лицо без рта"", ""пустое лицо"", ""без рта"", ""тишина"", ""тихий""]"
38,😶‍🌫️,"[""face in clouds"", ""brain fog"", ""forgetful"", ""haze""]","[""лицо в облаках"", ""головной туман"", ""Забыли"", ""Хез""]"
39,😶‍🌫,"[""face in clouds"", ""brain fog"", ""forgetful"", ""haze""]","[""лицо в облаках"", ""головной туман"", ""Забыли"", ""Хез""]"
40,😏,"[""smirking face"", ""flirting"", ""sexual face"", ""smug face"", ""suggestive smile""]","[""восхитительное лицо"", ""флирт"", ""сексуальное лицо"", ""smug лицо"", ""советская улыбка""]"
41,😒,"[""unamused face"", ""dissatisfied"", ""meh"", ""side-eye"", ""unimpressed""]","[""неиспользуемое лицо"", ""недовольна"", ""мех"", ""side-eye"", ""неподавлено""]"
42,🙄,"[""rolling eyes"", ""eye roll""]","[""подвижные глаза"", ""глаз ролл""]"
43,😬,"[""grimacing face"", ""awkward"", ""eek"", ""foot in mouth"", ""nervous"", ""snapchat mutual #1 best friend""]","[""grimacing лицо"", ""неловко"", ""Эек"", ""нога во рту"", ""нерв"", ""Snapchat взаимного #1 лучший друг""]"
44,😮‍💨,"[""face exhaling"", ""sigh""]","[""лицо exhaling"", ""вес""]"
45,🤥,"[""lying face"", ""liar"", ""long nose"", ""pinocchio""]","[""лживое лицо"", ""Лиар"", ""длинный нос"", ""пинокчио""]"
46,😌,"[""relieved face"", ""content"", ""pleased""]","[""освобожденное лицо"", ""контент"", ""с удовольствием""]"
47,😔,"[""pensive face"", ""pensive"", ""sad"", ""sadface"", ""sorrowful""]","[""pensive лицо"", ""пенсив"", ""печаль"", ""Грусталь"", ""ужасно""]"
48,😪,"[""sleepy face"", ""side-tear"", ""snot bubble""]","[""сонливое лицо"", ""боковой конец"", ""не пузырь""]"
49,🤤,"[""drooling face"", ""drool""]","[""утопление лица"", ""Дроол""]"
50,😴,"[""sleeping face"", ""sleep face"", ""snoring"", ""zzz face""]","[""спать лицо"", ""спать лицо"", ""храп"", ""zzz лицо""]"
51,😷,"[""medical mask"", ""coronavirus"", ""covid-19"", ""mask face"", ""surgical mask""]","[""медицинская маска"", ""коронавирус"", ""covid-19"", ""маска лицо"", ""хирургическая маска""]"
52,🤒,"[""thermometer"", ""ill"", ""sick""]","[""термометр"", ""больно"", ""больно""]"
53,🤕,"[""head-bandage"", ""bandaged head"", ""clumsy"", ""injured""]","[""головокружение"", ""группа голова"", ""Клумси"", ""раненый""]"
54,🤢,"[""nauseated face"", ""disgust"", ""green face"", ""vomit""]","[""Населенный лицо"", ""дегуст"", ""зеленое лицо"", ""vomit""]"
55,🤮,"[""face vomiting"", ""spew"", ""throwing up"", ""vomit""]","[""лицо vomiting"", ""Немного"", ""бросать вверх"", ""vomit""]"
56,🤧,"[""sneezing face"", ""gesundheit""]","[""снежное лицо"", ""gesundheit""]"
57,🥵,"[""hot face""]","[""горячее лицо""]"
58,🥶,"[""cold face""]","[""холодное лицо""]"
59,🥴,"[""woozy face"", ""drunk face""]","[""woozy лицо"", ""пьяное лицо""]"
60,😵,"[""crossed-out eyes"", ""cross eyes face"", ""spiral eyes face""]","[""крестные глаза"", ""крест глаза лицо"", ""спираль глаза лицо""]"
61,😵‍💫,"[""spiral eyes"", ""dizzy face""]","[""спиральные глаза"", ""головокружительное лицо""]"
62,🤯,"[""exploding head"", ""mind blown""]","[""взрывая голова"", ""ум взорван""]"
63,🤠,"[""cowboy hat face"", ""cowboy""]","[""Ковбой шляпа лицо"", ""ковбой""]"
64,🥳,"[""partying face""]","[""вечеринки лицо""]"
65,🥸,"[""disguised face""]","[""замаскированное лицо""]"
66,😎,"[""smiling sunglasses"", ""cool"", ""mutual best friends (snapchat)"", ""sunglasses""]","[""улыбающиеся солнцезащитные очки"", ""круто"", ""взаимные лучшие друзья (snapchat)"", ""солнцезащитные очки""]"
67,🤓,"[""nerd face"", ""nerdy""]","[""нервное лицо"", ""нерв""]"
68,🧐,"[""monocle""]","[""монокле""]"
69,😕,"[""confused face"", ""nonplussed"", ""puzzled"", "":s""]","[""запутанное лицо"", ""неплюсированный"", ""головоломка"", "":с""]"
70,😟,"[""worried face"", ""sad"", ""sadface""]","[""беспокоится лицо"", ""печаль"", ""Грусталь""]"
71,🙁,"[""slightly frowning face"", ""slightly sad""]","[""слегка жареное лицо"", ""немного грустно""]"
72,☹️,"[""frowning face"", ""megafrown""]","[""жареное лицо"", ""мегафроун""]"
73,☹,"[""frowning face"", ""megafrown""]","[""жареное лицо"", ""мегафроун""]"
74,😮,"[""open mouth"", ""open mouth"", ""surprised""]","[""открытый рот"", ""открытый рот"", ""сюрприз""]"
75,😯,"[""hushed face"", ""surprise"", ""surprised face""]","[""обжаренное лицо"", ""сюрприз"", ""удивленное лицо""]"
76,😲,"[""astonished face"", ""drunk face"", ""gasping face"", ""shocked face""]","[""восхитительное лицо"", ""пьяное лицо"", ""газирование лица"", ""шокированное лицо""]"
77,😳,"[""flushed face"", "":$"", ""blushing face"", ""embarrassed"", ""shame""]","[""потопленное лицо"", "":$"", ""пышное лицо"", ""смущен"", ""стыд""]"
78,🥺,"[""pleading face"", ""begging"", ""glossy eyes"", ""simp""]","[""Приятное лицо"", ""брызг"", ""глянцевые глаза"", ""просто""]"
79,😦,"[""frowning open mouth"", ""yawning""]","[""жареный открытый рот"", ""юбинг""]"
80,😧,"[""anguished face"", ""pained face""]","[""агуишированное лицо"", ""больное лицо""]"
81,😨,"[""fearful face"", ""scared"", ""surprised""]","[""страшное лицо"", ""страшно"", ""сюрприз""]"
82,😰,"[""anxious sweat"", ""blue face"", ""concerned face"", ""nervous face""]","[""тревожный пот"", ""голубое лицо"", ""обеспокоенное лицо"", ""нервное лицо""]"
83,😥,"[""sad but relieved face"", ""eyebrow sweat""]","[""печальное, но снятое лицо"", ""eyebrow Пот""]"
84,😢,"[""crying face"", ""crying"", ""tear""]","[""плакать лицо"", ""плач"", ""слеза""]"
85,😭,"[""loudly crying face"", ""bawling"", ""crying"", ""sad tears"", ""sobbing""]","[""громко плакать лицо"", ""пилинг"", ""плач"", ""печальные слезы"", ""саббинг""]"
86,😱,"[""face screaming in fear"", ""home alone"", ""scream"", ""screaming face""]","[""лицо кричит в страхе"", ""дома один"", ""кричать"", ""кричать лицо""]"
87,😖,"[""confounded face"", ""quivering mouth"", ""scrunched face""]","[""глубокое лицо"", ""требовательный рот"", ""скрученное лицо""]"
88,😣,"[""persevering face"", ""helpless face"", ""scrunched eyes""]","[""настойчивое лицо"", ""беспомощное лицо"", ""скрученные глаза""]"
89,😞,"[""disappointed face"", "":("", ""sad"", ""sadface""]","[""разочарованное лицо"", "":("", ""печаль"", ""Грусталь""]"
90,😓,"[""downcast sweat"", ""hard work"", ""sad sweat face""]","[""downcast пот"", ""тяжелая работа"", ""печальный пот лицо""]"
91,😩,"[""weary face"", ""distraught face"", ""wailing""]","[""weary лицо"", ""развратное лицо"", ""вилинг""]"
92,😫,"[""tired face"", ""exhausted"", ""fed up""]","[""усталое лицо"", ""исчерпан"", ""fed вверх""]"
93,🥱,"[""yawning face""]","[""рассветное лицо""]"
94,😤,"[""steam from nose"", ""airing of grievances"", ""frustrated"", ""mad face"", ""steaming""]","[""пар от носа"", ""проветривание воровства"", ""Фрустрированный"", ""безумное лицо"", ""Парение""]"
95,😡,"[""enraged face"", ""angry face"", ""grumpy face"", ""mad face"", ""red face""]","[""захваченное лицо"", ""сердитый лицо"", ""grumpy лицо"", ""безумное лицо"", ""красное лицо""]"
96,😠,"[""angry face"", ""angry"", ""grumpy face""]","[""сердитый лицо"", ""сердит"", ""grumpy лицо""]"
97,🤬,"[""symbols on mouth"", ""cursing"", ""cussing"", ""grawlix"", ""swearing""]","[""символы на рот"", ""Проклятие"", ""Обсуждение"", ""grawlix"", ""клянусь""]"
98,😈,"[""smiling horns"", ""devil"", ""devil horns"", ""happy devil"", ""purple devil"", ""red devil""]","[""улыбающиеся рога"", ""Дьявол"", ""дьявол рог"", ""счастливый дьявол"", ""фиолетовый дьявол"", ""красный дьявол""]"
99,👿,"[""angry horns"", ""devil"", ""devil horns"", ""purple devil"", ""purple goblin"", ""sad devil""]","[""сердитые рога"", ""Дьявол"", ""дьявол рог"", ""фиолетовый дьявол"", ""фиолетовый гоблин"", ""печальный дьявол""]"
100,💀,"[""skull"", ""death"", ""grey skull"", ""skeleton""]","[""череп"", ""смерть"", ""серый череп"", ""скелет""]"
101,☠️,"[""skull"", ""crossbones""]","[""череп"", ""кроссбони""]"
102,☠,"[""skull"", ""crossbones""]","[""череп"", ""кроссбони""]"
103,💩,"[""pile of poo"", ""dog dirt"", ""smiling poop""]","[""свай poo"", ""собака грязь"", ""улыбчивый поп""]"
104,🤡,"[""clown face""]","[""клоун лицо""]"
105,👹,"[""ogre"", ""mask face"", ""oni"", ""red monster""]","[""Огре"", ""маска лицо"", ""Русский"", ""красный монстр""]"
106,👺,"[""goblin"", ""long nose face"", ""red mask"", ""tengu""]","[""Гоблин"", ""длинное носовое лицо"", ""красная маска"", ""Тенгу""]"
107,👻,"[""ghost"", ""disappear"", ""ghoul"", ""halloween""]","[""призрак"", ""исчезнуть"", ""ghoul"", ""Хэллоуин""]"
108,👽,"[""alien"", ""alien"", ""et""]","[""инопланетяне"", ""инопланетяне"", ""и т.д.""]"
109,👾,"[""alien monster"", ""space invader"", ""video game monster""]","[""чужой монстр"", ""космический инвадер"", ""видео игра монстр""]"
110,🤖,"[""robot"", ""robot""]","[""робот"", ""робот""]"
111,😺,"[""grinning cat"", ""happy cat"", ""smiling cat""]","[""шлифованный кот"", ""счастливый кот"", ""улыбающийся кот""]"
112,😸,"[""grinning cat with smiling eyes"", ""grinning cat"", ""happy cat""]","[""шлифованный кот с улыбчивыми глазами"", ""шлифованный кот"", ""счастливый кот""]"
113,😹,"[""cat with tears of joy"", ""happy tears cat"", ""laughing cat""]","[""кошка с слезами радости"", ""счастливые слезы кошки"", ""смеяться котом""]"
114,😻,"[""smiling cat with heart-eyes"", ""heart eyes cat"", ""loving cat""]","[""улыбающийся кот с сердечниками"", ""сердце глаза кот"", ""любящая кошка""]"
115,😼,"[""cat with wry smile"", ""smirking cat""]","[""кошка с wry улыбка"", ""Smirking кошка""]"
116,😽,"[""kissing cat"", ""kissing cat""]","[""поцелуй кота"", ""поцелуй кота""]"
117,🙀,"[""weary cat"", ""scared cat"", ""screaming cat""]","[""weary кошка"", ""страшный кот"", ""кричать кота""]"
118,😿,"[""crying cat"", ""crying cat"", ""sad cat""]","[""плакать кот"", ""плакать кот"", ""печальный кот""]"
119,😾,"[""pouting cat"", ""grumpy cat""]","[""pouting кот"", ""grumpy кошка""]"
120,🙈,"[""see-no-evil monkey"", ""mizaru"", ""monkey covering eyes""]","[""see-no-evil обезьяна"", ""мизару"", ""обезьяна, освещающая глаза""]"
121,🙉,"[""hear-no-evil monkey"", ""kikazaru"", ""monkey covering ears""]","[""Слышат без зла обезьяны"", ""Киказару"", ""обезьяны, охватывающие уши""]"
122,🙊,"[""speak-no-evil monkey"", ""iwazaru"", ""monkey covering mouth"", ""no speaking""]","[""разговорная обезьяна"", ""ивазару"", ""обезьяны, охватывающие рот"", ""не говорить""]"
123,💋,"[""kiss mark"", ""kissing lips""]","[""поцелуй знак"", ""поцелуи губы""]"
124,💌,"[""love letter"", ""heart envelope"", ""love note""]","[""любовное письмо"", ""сердце конверт"", ""любовь Примечание""]"
125,💘,"[""heart with arrow"", ""cupid arrow"", ""lovestruck""]","[""сердце со стрелкой"", ""Cupid стрелка"", ""любовь""]"
126,💝,"[""heart with ribbon"", ""chocolate box"", ""gift box"", ""gift heart""]","[""сердце с лентой"", ""шоколадная коробка"", ""подарочная коробка"", ""подарок сердце""]"
127,💖,"[""sparkling heart"", ""sparkle heart"", ""sparkly heart"", ""stars heart""]","[""игристое сердце"", ""игристое сердце"", ""игристое сердце"", ""Звездное сердце""]"
128,💗,"[""growing heart"", ""multiple heart"", ""triple heart""]","[""растущее сердце"", ""многочисленное сердце"", ""тройное сердце""]"
129,💓,"[""beating heart"", ""heart alarm"", ""heartbeat"", ""wifi heart""]","[""бить сердце"", ""сердечная тревога"", ""сердцебиение"", ""wifi сердце""]"
130,💞,"[""revolving hearts"", ""two hearts""]","[""вращающиеся сердца"", ""два сердца""]"
131,💕,"[""two hearts"", ""small hearts"", ""two pink hearts""]","[""два сердца"", ""небольшие сердца"", ""два розовых сердца""]"
132,💟,"[""heart decoration""]","[""украшение сердца""]"
133,❣️,"[""heart exclamation"", ""heart above dot""]","[""сердце возбуждение"", ""сердце выше точки""]"
134,❣,"[""heart exclamation"", ""heart above dot""]","[""сердце возбуждение"", ""сердце выше точки""]"
135,💔,"[""broken heart"", ""breaking heart"", ""brokenhearted"", ""heart broken""]","[""сломанный сердце"", ""ломать сердце"", ""сломанный"", ""сердце сломанный""]"
136,❤️‍🔥,"[""heart on fire""]","[""сердце на огне""]"
137,❤‍🔥,"[""heart on fire""]","[""сердце на огне""]"
138,❤️‍🩹,"[""mending heart"", ""bandaged heart"", ""healing heart"", ""unbroken heart""]","[""гнуть сердце"", ""полосатое сердце"", ""исцеление сердца"", ""разломанный сердце""]"
139,❤‍🩹,"[""mending heart"", ""bandaged heart"", ""healing heart"", ""unbroken heart""]","[""гнуть сердце"", ""полосатое сердце"", ""исцеление сердца"", ""разломанный сердце""]"
140,❤️,"[""red heart"", ""heart"", ""love heart"", ""red heart""]","[""красное сердце"", ""сердце"", ""любовь сердце"", ""красное сердце""]"
141,❤,"[""red heart"", ""heart"", ""love heart"", ""red heart""]","[""красное сердце"", ""сердце"", ""любовь сердце"", ""красное сердце""]"
142,🧡,"[""orange heart""]","[""оранжевое сердце""]"
143,💛,"[""yellow heart"", ""#1 bf snapchat"", ""gold heart""]","[""желтое сердце"", ""#1 bf снимок"", ""золотое сердце""]"
144,💚,"[""green heart"", ""nct heart""]","[""зеленое сердце"", ""nct сердце""]"
145,💙,"[""blue heart"", ""brand heart"", ""neutral heart""]","[""голубое сердце"", ""бренд сердце"", ""нейтральное сердце""]"
146,💜,"[""purple heart"", ""bts emoji""]","[""фиолетовое сердце"", ""БТС emoji""]"
147,🤎,"[""brown heart""]","[""коричневое сердце""]"
148,🖤,"[""black heart"", ""dark heart""]","[""черное сердце"", ""темное сердце""]"
149,🤍,"[""white heart""]","[""белое сердце""]"
150,💯,"[""hundred points"", ""100"", ""keep it 100"", ""perfect score""]","[""сто очков"", ""100"", ""держать его 100"", ""идеальный результат""]"
151,💢,"[""anger symbol"", ""anger sign"", ""vein pop""]","[""символ гнева"", ""знак гнева"", ""vein поп""]"
152,💥,"[""collision"", ""bang"", ""explode"", ""impact"", ""red spark""]","[""столкновения"", ""Банг"", ""взрыв"", ""воздействие"", ""красная искра""]"
153,💫,"[""dizzy"", ""circle"", ""star"", ""dizzy""]","[""головокружение"", ""круг"", ""звезда"", ""головокружение""]"
154,💦,"[""sweat droplets"", ""plewds"", ""splashing water"", ""water drops""]","[""пот капельки"", ""пожалуйста"", ""брызг воды"", ""капли воды""]"
155,💨,"[""dashing away"", ""fast"", ""steam"", ""vaping"", ""wind""]","[""смерть"", ""быстро"", ""пар"", ""вейпинг"", ""ветер""]"
156,🕳️,"[""hole""]","[""отверстие""]"
157,🕳,"[""hole""]","[""отверстие""]"
158,💣,"[""bomb""]","[""бомба""]"
159,💬,"[""speech balloon"", ""chat bubble"", ""speech bubble""]","[""речь шар"", ""чат пузырь"", ""речь пузырь""]"
160,👁️‍🗨️,"[""eye in speech bubble"", ""i am a witness""]","[""глаз в речевом пузыре"", ""я свидетель""]"
161,👁‍🗨️,"[""eye in speech bubble"", ""i am a witness""]","[""глаз в речевом пузыре"", ""я свидетель""]"
162,👁️‍🗨,"[""eye in speech bubble"", ""i am a witness""]","[""глаз в речевом пузыре"", ""я свидетель""]"
163,👁‍🗨,"[""eye in speech bubble"", ""i am a witness""]","[""глаз в речевом пузыре"", ""я свидетель""]"
164,🗨️,"[""left speech bubble""]","[""левый речи пузырь""]"
165,🗨,"[""left speech bubble""]","[""левый речи пузырь""]"
166,🗯️,"[""right anger bubble"", ""zig zag bubble""]","[""правый гнев пузырь"", ""zig zag пузырь""]"
167,🗯,"[""right anger bubble"", ""zig zag bubble""]","[""правый гнев пузырь"", ""zig zag пузырь""]"
168,💭,"[""thought balloon"", ""thinking bubble"", ""thought bubble""]","[""мысль шар"", ""думать пузырь"", ""мысль пузырь""]"
169,💤,"[""zzz"", ""bedtime"", ""boring"", ""sleep"", ""zzz""]","[""зцз"", ""кровать"", ""скучно"", ""сон"", ""зцз""]"
170,👋,"[""waving"", ""goodbye"", ""hand wave"", ""hello"", ""waving""]","[""бить"", ""Прощай"", ""рука волна"", ""привет"", ""бить""]"
171,👋🏻,"[""waving""]","[""бить""]"
172,👋🏼,"[""waving""]","[""бить""]"
173,👋🏽,"[""waving""]","[""бить""]"
174,👋🏾,"[""waving""]","[""бить""]"
175,👋🏿,"[""waving""]","[""бить""]"
176,🤚,"[""raised back of"", ""backhand""]","[""поднял назад"", ""назад""]"
177,🤚🏻,"[""raised back of""]","[""поднял назад""]"
178,🤚🏼,"[""raised back of""]","[""поднял назад""]"
179,🤚🏽,"[""raised back of""]","[""поднял назад""]"
180,🤚🏾,"[""raised back of""]","[""поднял назад""]"
181,🤚🏿,"[""raised back of""]","[""поднял назад""]"
182,🖐️,"[""hand with fingers splayed"", ""five"", ""splayed""]","[""рука с пальцами проиграна"", ""пять"", ""сплеем""]"
183,🖐,"[""hand with fingers splayed"", ""five"", ""splayed""]","[""рука с пальцами проиграна"", ""пять"", ""сплеем""]"
184,🖐🏻,"[""hand with fingers splayed""]","[""рука с пальцами проиграна""]"
185,🖐🏼,"[""hand with fingers splayed""]","[""рука с пальцами проиграна""]"
186,🖐🏽,"[""hand with fingers splayed""]","[""рука с пальцами проиграна""]"
187,🖐🏾,"[""hand with fingers splayed""]","[""рука с пальцами проиграна""]"
188,🖐🏿,"[""hand with fingers splayed""]","[""рука с пальцами проиграна""]"
189,✋,"[""raised"", ""high five"", ""stop""]","[""собрано"", ""высокий пять"", ""остановиться""]"
190,✋🏻,"[""raised""]","[""собрано""]"
191,✋🏼,"[""raised""]","[""собрано""]"
192,✋🏽,"[""raised""]","[""собрано""]"
193,✋🏾,"[""raised""]","[""собрано""]"
194,✋🏿,"[""raised""]","[""собрано""]"
195,🖖,"[""vulcan salute"", ""spock"", ""star trek"", ""vulcan salute""]","[""Вулкан Салют"", ""Спок"", ""звезда трек"", ""Вулкан Салют""]"
196,🖖🏻,"[""vulcan salute""]","[""Вулкан Салют""]"
197,🖖🏼,"[""vulcan salute""]","[""Вулкан Салют""]"
198,🖖🏽,"[""vulcan salute""]","[""Вулкан Салют""]"
199,🖖🏾,"[""vulcan salute""]","[""Вулкан Салют""]"
200,🖖🏿,"[""vulcan salute""]","[""Вулкан Салют""]"
201,👌,"[""ok"", ""okay"", ""perfect""]","[""ок"", ""в порядке"", ""идеально""]"
202,👌🏻,"[""ok""]","[""ок""]"
203,👌🏼,"[""ok""]","[""ок""]"
204,👌🏽,"[""ok""]","[""ок""]"
205,👌🏾,"[""ok""]","[""ок""]"
206,👌🏿,"[""ok""]","[""ок""]"
207,🤌,"[""pinched fingers"", ""finger purse"", ""ma che vuoi""]","[""пиндельные пальцы"", ""палец кошелек"", ""ма che vuoi""]"
208,🤌🏻,"[""pinched fingers""]","[""пиндельные пальцы""]"
209,🤌🏼,"[""pinched fingers""]","[""пиндельные пальцы""]"
210,🤌🏽,"[""pinched fingers""]","[""пиндельные пальцы""]"
211,🤌🏾,"[""pinched fingers""]","[""пиндельные пальцы""]"
212,🤌🏿,"[""pinched fingers""]","[""пиндельные пальцы""]"
213,🤏,"[""pinching""]","[""пинч""]"
214,🤏🏻,"[""pinching""]","[""пинч""]"
215,🤏🏼,"[""pinching""]","[""пинч""]"
216,🤏🏽,"[""pinching""]","[""пинч""]"
217,🤏🏾,"[""pinching""]","[""пинч""]"
218,🤏🏿,"[""pinching""]","[""пинч""]"
219,✌️,"[""victory"", ""air quotes"", ""peace"", ""peace sign"", ""v sign""]","[""Победа"", ""цитаты воздуха"", ""мир"", ""знак мира"", ""v знак""]"
220,✌,"[""victory"", ""air quotes"", ""peace"", ""peace sign"", ""v sign""]","[""Победа"", ""цитаты воздуха"", ""мир"", ""знак мира"", ""v знак""]"
221,✌🏻,"[""victory""]","[""Победа""]"
222,✌🏼,"[""victory""]","[""Победа""]"
223,✌🏽,"[""victory""]","[""Победа""]"
224,✌🏾,"[""victory""]","[""Победа""]"
225,✌🏿,"[""victory""]","[""Победа""]"
226,🤞,"[""crossed fingers"", ""fingers crossed"", ""good luck""]","[""пересеченные пальцы"", ""пальцы пересекли"", ""удачи""]"
227,🤞🏻,"[""crossed fingers""]","[""пересеченные пальцы""]"
228,🤞🏼,"[""crossed fingers""]","[""пересеченные пальцы""]"
229,🤞🏽,"[""crossed fingers""]","[""пересеченные пальцы""]"
230,🤞🏾,"[""crossed fingers""]","[""пересеченные пальцы""]"
231,🤞🏿,"[""crossed fingers""]","[""пересеченные пальцы""]"
232,🤟,"[""love-you""]","[""любовь-вы""]"
233,🤟🏻,"[""love-you""]","[""любовь-вы""]"
234,🤟🏼,"[""love-you""]","[""любовь-вы""]"
235,🤟🏽,"[""love-you""]","[""любовь-вы""]"
236,🤟🏾,"[""love-you""]","[""любовь-вы""]"
237,🤟🏿,"[""love-you""]","[""любовь-вы""]"
238,🤘,"[""sign of the horns"", ""devil fingers"", ""heavy metal"", ""rock on""]","[""знак рогов"", ""дьявол пальцы"", ""тяжелый металл"", ""рок на""]"
239,🤘🏻,"[""sign of the horns""]","[""знак рогов""]"
240,🤘🏼,"[""sign of the horns""]","[""знак рогов""]"
241,🤘🏽,"[""sign of the horns""]","[""знак рогов""]"
242,🤘🏾,"[""sign of the horns""]","[""знак рогов""]"
243,🤘🏿,"[""sign of the horns""]","[""знак рогов""]"
244,🤙,"[""call me"", ""phone"", ""shaka""]","[""позвони мне"", ""телефон"", ""шака""]"
245,🤙🏻,"[""call me""]","[""позвони мне""]"
246,🤙🏼,"[""call me""]","[""позвони мне""]"
247,🤙🏽,"[""call me""]","[""позвони мне""]"
248,🤙🏾,"[""call me""]","[""позвони мне""]"
