,emoji,keywords_ru
28,🤑,"{""деньги-мут"": 1, ""глаза"": 19, ""лицо"": 119, ""богатый"": 2, ""доллар"": 3, ""знак"": 26, ""деньги"": 3}"
29,🤗,"{""Хугугинг"": 2, ""объятия"": 1, ""авг"": 2, ""руки"": 131, ""лицо"": 119, ""открыть"": 15, ""улыбка"": 20}"
30,🤭,"{""лицо"": 119, ""над"": 1, ""рот"": 11, ""рука"": 119}"
31,🤫,"{""Ш"": 1, ""лицо"": 119, ""шлифовка"": 1, ""хуш"": 1, ""тихий"": 1}"
32,🤔,"{""Китай"": 1, ""пачка"": 2, ""лицо"": 119, ""тени"": 1, ""мышление"": 2, ""бросить"": 2, ""мыслитель"": 1}"
33,🤐,"{""губы"": 3, ""лицо"": 119, ""загерметизированный"": 1, ""почтовый индекс"": 1, ""это"": 3, ""молния-мут"": 1}"
34,🤨,"{""Колберт"": 1, ""брови"": 2, ""лицо"": 119, ""рок"": 9, ""и"": 12, ""собрано"": 21}"
35,😐,"{""лицо"": 119, ""рот"": 11, ""столкнулись"": 1, ""прямо"": 4, ""нейтральный"": 8}"
36,😑,"{""бессрочное"": 1, ""лицо"": 119, ""рот"": 11, ""прямо"": 4}"
37,😶,"{""тишина"": 1, ""пустой"": 2, ""лицо"": 119, ""рот"": 11, ""тихий"": 2, ""без рта"": 1}"
38,😶‍🌫️,"{""лицо"": 119, ""Хез"": 2, ""облака"": 2, ""Фог"": 5, ""Забыли"": 2, ""мозг"": 3}"
39,😶‍🌫,"{""лицо"": 119, ""Хез"": 2, ""облака"": 2, ""Фог"": 5, ""Забыли"": 2, ""мозг"": 3}"
40,😏,"{""флирт"": 1, ""лицо"": 119, ""сексуальный"": 1, ""предложение"": 1, ""Смуг"": 1, ""Смиркинг"": 2, ""улыбка"": 4}"
41,😒,"{""недовольна"": 1, ""без"": 1, ""лицо"": 119, ""мех"": 1, ""неподавлено"": 1, ""side-eye"": 1}"
42,🙄,"{""глаза"": 19, ""прокат"": 2, ""Ролл"": 2, ""лицо"": 119}"
43,😬,"{""неловко"": 1, ""нерв"": 2, ""друг"": 1, ""пешком"": 8, ""лицо"": 119, ""grimacing"": 1, ""1"": 4, ""рот"": 11, ""взаимное"": 2, ""лучшее"": 2, ""Snapchat"": 3, ""Эек"": 1}"
44,😮‍💨,"{""превосходить"": 1, ""лицо"": 119, ""вес"": 1}"
45,🤥,"{""лежа"": 1, ""пинокчио"": 1, ""долго"": 3, ""нос"": 10, ""лицо"": 119, ""Лиар"": 1}"
46,😌,"{""лицо"": 119, ""снято"": 2, ""с удовольствием"": 1, ""контент"": 1}"
47,😔,"{""пенсив"": 1, ""печаль"": 10, ""лицо"": 119, ""Грусталь"": 3, ""ужасно"": 1}"
48,😪,"{""пузырь"": 13, ""лицо"": 119, ""не"": 1, ""сон"": 1, ""боковой конец"": 1}"
49,🤤,"{""Двулинг"": 1, ""лицо"": 119, ""Дроол"": 1}"
50,😴,"{""храп"": 1, ""лицо"": 119, ""сон"": 2, ""зцз"": 2, ""спать"": 1}"
51,😷,"{""covid-19"": 2, ""хирург"": 1, ""лицо"": 119, ""медицинская"": 4, ""коронавирус"": 2, ""маска"": 4}"
52,🤒,"{""термометр"": 3, ""больно"": 1, ""лицо"": 119}"
53,🤕,"{""головокружение"": 1, ""Клумси"": 1, ""бандаж"": 3, ""лицо"": 119, ""раненый"": 1, ""голова"": 12}"
54,🤢,"{""зеленый"": 14, ""лицо"": 119, ""vomit"": 2, ""дегуст"": 1, ""Населенный"": 1}"
55,🤮,"{""вомитинг"": 1, ""лицо"": 119, ""vomit"": 2, ""Немного"": 1, ""бросить"": 2}"
56,🤧,"{""gesundheit"": 1, ""лицо"": 119, ""снежность"": 1}"
57,🥵,"{""лицо"": 119, ""горячее"": 11}"
58,🥶,"{""лицо"": 119, ""холод"": 1}"
59,🥴,"{""лицо"": 119, ""пьяна"": 2, ""Вузи"": 1}"
60,😵,"{""кросс-выход"": 1, ""спираль"": 9, ""глаза"": 19, ""лицо"": 119, ""крест"": 12}"
61,😵‍💫,"{""спираль"": 9, ""глаза"": 19, ""лицо"": 119, ""головокружение"": 2}"
62,🤯,"{""удар"": 1, ""голова"": 12, ""ум"": 1, ""взрыв"": 1}"
63,🤠,"{""шляпа"": 5, ""лицо"": 119, ""ковбой"": 1}"
64,🥳,"{""вечеринки"": 1, ""лицо"": 119}"
65,🥸,"{""замаскированный"": 1, ""лицо"": 119}"
66,😎,"{""лицо"": 119, ""круто"": 2, ""солнцезащитные очки"": 3, ""взаимное"": 2, ""лучшее"": 2, ""Snapchat"": 3, ""друзья"": 1, ""улыбка"": 20}"
67,🤓,"{""нерв"": 1, ""лицо"": 119}"
68,🧐,"{""лицо"": 119, ""монокле"": 1}"
69,😕,"{""неплюсированный"": 1, ""с"": 14, ""лицо"": 119, ""запутанный"": 1, ""головоломка"": 1}"
70,😟,"{""волноваться"": 1, ""печаль"": 10, ""лицо"": 119, ""Грусталь"": 3}"
71,🙁,"{""печаль"": 10, ""жара"": 34, ""лицо"": 119, ""немного"": 2}"
72,☹️,"{""мегафроун"": 2, ""жара"": 34, ""лицо"": 119}"
73,☹,"{""мегафроун"": 2, ""жара"": 34, ""лицо"": 119}"
74,😮,"{""лицо"": 119, ""рот"": 11, ""открыть"": 15, ""сюрприз"": 3}"
75,😯,"{""потох"": 1, ""сюрприз"": 1, ""лицо"": 119}"
76,😲,"{""шокированный"": 1, ""лицо"": 119, ""пьяна"": 2, ""восхитительный"": 1, ""газирование"": 1}"
77,😳,"{""пышное"": 1, ""лицо"": 119, ""стыд"": 1, ""смущен"": 1, ""потопленный"": 1}"
78,🥺,"{""удовольствие"": 1, ""просто"": 1, ""глаза"": 19, ""лицо"": 119, ""глянцевый"": 1, ""брызг"": 1}"
79,😦,"{""лицо"": 119, ""рот"": 11, ""открыть"": 15, ""жара"": 34, ""юбинг"": 2}"
80,😧,"{""агуишед"": 1, ""больно"": 1, ""лицо"": 119}"
81,😨,"{""сюрприз"": 3, ""страшно"": 2, ""лицо"": 119, ""Страшно"": 1}"
82,😰,"{""нерв"": 2, ""лицо"": 119, ""тревожный"": 1, ""синий"": 11, ""заинтересованные"": 1, ""Пот"": 5}"
83,😥,"{""печаль"": 10, ""брови"": 2, ""лицо"": 119, ""Пот"": 5, ""снято"": 2}"
84,😢,"{""плач"": 4, ""лицо"": 119, ""слеза"": 2}"
85,😭,"{""печаль"": 10, ""слезы"": 3, ""пилинг"": 1, ""лицо"": 119, ""саббинг"": 1, ""плач"": 4, ""громко"": 1}"
86,😱,"{""дома"": 2, ""лицо"": 119, ""один"": 1, ""кричать"": 1, ""страх"": 1}"
87,😖,"{""сосредоточено"": 1, ""скрон"": 2, ""лицо"": 119, ""рот"": 11, ""трепет"": 1}"
88,😣,"{""глаза"": 19, ""скрон"": 2, ""лицо"": 119, ""настойчиво"": 1, ""беспомощный"": 1}"
89,😞,"{""печаль"": 10, ""лицо"": 119, ""Грусталь"": 3, ""разочарован"": 1}"
90,😓,"{""вниз"": 1, ""печаль"": 10, ""трудно"": 1, ""лицо"": 119, ""Пот"": 5, ""работа"": 2}"
91,😩,"{""лицо"": 119, ""мошенники"": 2, ""разврат"": 1, ""вилинг"": 1}"
92,😫,"{""лицо"": 119, ""ФРС"": 2, ""устал"": 1, ""исчерпан"": 1}"
93,🥱,"{""лицо"": 119, ""юбинг"": 2}"
94,😤,"{""привет"": 1, ""Безумный"": 2, ""воздух"": 1, ""нос"": 10, ""лицо"": 119, ""пар"": 5, ""из"": 1, ""Парение"": 2, ""Фрустрированный"": 1}"
95,😡,"{""Загружается"": 1, ""Безумный"": 2, ""лицо"": 119, ""сердит"": 3, ""grumpy"": 3, ""красный"": 49}"
96,😠,"{""сердит"": 3, ""лицо"": 119, ""grumpy"": 3}"
97,🤬,"{""grawlix"": 1, ""клянусь"": 1, ""символы"": 2, ""лицо"": 119, ""рот"": 11, ""Обсуждение"": 1, ""Проклятие"": 1}"
98,😈,"{""Дьявол"": 3, ""счастливый"": 13, ""лицо"": 119, ""фиолетовый"": 7, ""роги"": 8, ""улыбка"": 20, ""красный"": 49}"
99,👿,"{""печаль"": 10, ""Дьявол"": 3, ""Гоблин"": 2, ""лицо"": 119, ""фиолетовый"": 7, ""роги"": 8, ""сердит"": 3}"
100,💀,"{""смерть"": 1, ""череп"": 3, ""скелет"": 1, ""серый"": 1}"
101,☠️,"{""череп"": 3, ""кроссбони"": 2}"
102,☠,"{""череп"": 3, ""кроссбони"": 2}"
103,💩,"{""Поо"": 1, ""собака"": 7, ""свай"": 2, ""Поп"": 1, ""грязь"": 1, ""улыбка"": 20}"
104,🤡,"{""Клоун"": 1, ""лицо"": 119}"
105,👹,"{""Огре"": 1, ""монстр"": 2, ""лицо"": 119, ""Русский"": 1, ""маска"": 4, ""красный"": 49}"
106,👺,"{""долго"": 3, ""Гоблин"": 2, ""нос"": 10, ""лицо"": 119, ""маска"": 4, ""Тенгу"": 1, ""красный"": 49}"
107,👻,"{""Хэллоуин"": 2, ""призрак"": 1, ""исчезнуть"": 1, ""ghoul"": 1}"
108,👽,"{""и т.д."": 1, ""инопланетяне"": 2}"
109,👾,"{""видео"": 5, ""монстр"": 2, ""инвадер"": 1, ""пространство"": 3, ""игра"": 4, ""инопланетяне"": 2}"
110,🤖,"{""робот"": 1}"
111,😺,"{""счастливый"": 13, ""улыбка"": 20, ""шлифование"": 7, ""кот"": 13}"
112,😸,"{""глаза"": 19, ""счастливый"": 13, ""шлифование"": 7, ""кот"": 13, ""улыбка"": 20}"
113,😹,"{""смеяться"": 4, ""радость"": 2, ""слезы"": 3, ""счастливый"": 13, ""кот"": 13}"
114,😻,"{""любящий"": 2, ""глаза"": 19, ""сердечные глаза"": 2, ""кот"": 13, ""улыбка"": 20, ""сердце"": 234}"
115,😼,"{""Все"": 1, ""кот"": 13, ""Смиркинг"": 2, ""улыбка"": 4}"
116,😽,"{""поцелуи"": 8, ""кот"": 13}"
117,🙀,"{""кот"": 13, ""страшно"": 2, ""мошенники"": 2, ""кричать"": 2}"
118,😿,"{""плач"": 4, ""кот"": 13, ""печаль"": 10}"
119,😾,"{""grumpy"": 3, ""кот"": 13, ""Путь"": 31}"
120,🙈,"{""см.-no-evil"": 1, ""глаза"": 19, ""обезьяна"": 6, ""мизару"": 1, ""покрытие"": 3}"
121,🙉,"{""уши"": 7, ""Слышат-нет-дьявол"": 1, ""обезьяна"": 6, ""Киказару"": 1, ""покрытие"": 3}"
122,🙊,"{""покрытие"": 3, ""обезьяна"": 6, ""рот"": 11, ""говорить"": 3, ""ивазару"": 1, ""нет"": 43, ""Беседа"": 1}"
123,💋,"{""губы"": 3, ""поцелуи"": 8, ""поцелуй"": 206, ""марка"": 22}"
124,💌,"{""любовь"": 6, ""конверт"": 6, ""Примечание"": 7, ""буква"": 3, ""сердце"": 234}"
125,💘,"{""любовь"": 1, ""Чашка"": 2, ""стрелка"": 37, ""сердце"": 234}"
126,💝,"{""подарок"": 2, ""коробка"": 12, ""лента"": 4, ""шоколад"": 4, ""сердце"": 234}"
127,💖,"{""игриво"": 1, ""Звезды"": 3, ""игристая"": 2, ""искрение"": 3, ""сердце"": 234}"
128,💗,"{""несколько"": 1, ""растет"": 1, ""тройной"": 1, ""сердце"": 234}"
129,💓,"{""бить"": 1, ""Wi-Fi"": 1, ""тревога"": 2, ""сердцебиение"": 1, ""сердце"": 234}"
130,💞,"{""сердца"": 5, ""два"": 7, ""Восстание"": 1}"
131,💕,"{""сердца"": 5, ""два"": 7, ""маленький"": 12, ""розовый"": 11}"
132,💟,"{""декор"": 4, ""сердце"": 234}"
133,❣️,"{""т"": 3, ""Исламация"": 8, ""выше"": 2, ""сердце"": 234}"
134,❣,"{""т"": 3, ""Исламация"": 8, ""выше"": 2, ""сердце"": 234}"
135,💔,"{""сломанный"": 1, ""перерыв"": 1, ""сердце"": 234}"
136,❤️‍🔥,"{""огонь"": 6, ""сердце"": 234}"
137,❤‍🔥,"{""огонь"": 6, ""сердце"": 234}"
138,❤️‍🩹,"{""минг"": 2, ""исцеление"": 2, ""бандаж"": 3, ""разброс"": 2, ""сердце"": 234}"
139,❤‍🩹,"{""минг"": 2, ""исцеление"": 2, ""бандаж"": 3, ""разброс"": 2, ""сердце"": 234}"
140,❤️,"{""любовь"": 6, ""красный"": 49, ""сердце"": 234}"
141,❤,"{""любовь"": 6, ""красный"": 49, ""сердце"": 234}"
142,🧡,"{""оранжевый"": 11, ""сердце"": 234}"
143,💛,"{""золото"": 4, ""БФ"": 1, ""1"": 4, ""Snapchat"": 3, ""желтый"": 10, ""сердце"": 234}"
144,💚,"{""НКТ"": 1, ""зеленый"": 14, ""сердце"": 234}"
145,💙,"{""сердце"": 234, ""синий"": 11, ""бренд"": 1, ""нейтральный"": 8}"
146,💜,"{""сердце"": 234, ""Эмоджи"": 2, ""фиолетовый"": 7, ""БТС"": 1}"
147,🤎,"{""коричневый"": 5, ""сердце"": 234}"
148,🖤,"{""черный"": 15, ""темнота"": 564, ""сердце"": 234}"
149,🤍,"{""сердце"": 234, ""белый"": 58}"
150,💯,"{""балл"": 2, ""сот"": 1, ""держать"": 1, ""точки"": 1, ""100"": 1, ""идеально"": 2, ""это"": 3}"
151,💢,"{""вена"": 1, ""гнев"": 3, ""символ"": 34, ""поп"": 2, ""знак"": 26}"
152,💥,"{""Банг"": 1, ""столкновения"": 1, ""взрыв"": 1, ""воздействие"": 1, ""иск"": 1, ""красный"": 49}"
153,💫,"{""звезда"": 15, ""головокружение"": 2, ""круг"": 13}"
154,💦,"{""капли"": 2, ""вода"": 39, ""пожалуйста"": 1, ""капельки"": 1, ""Пот"": 5, ""брызг"": 1}"
155,💨,"{""вейпинг"": 1, ""вдали"": 1, ""пар"": 5, ""быстро"": 6, ""дерзкий"": 1}"
156,🕳️,"{""отверстие"": 3}"
157,🕳,"{""отверстие"": 3}"
158,💣,"{""бомба"": 1}"
159,💬,"{""шар"": 3, ""пузырь"": 13, ""в чате"": 1, ""речи"": 7}"
160,👁️‍🗨️,"{""пузырь"": 13, ""глаза"": 11, ""свидетель"": 4, ""я"": 6, ""речи"": 7, ""Я"": 4}"
161,👁‍🗨️,"{""пузырь"": 13, ""глаза"": 11, ""свидетель"": 4, ""я"": 6, ""речи"": 7, ""Я"": 4}"
162,👁️‍🗨,"{""пузырь"": 13, ""глаза"": 11, ""свидетель"": 4, ""я"": 6, ""речи"": 7, ""Я"": 4}"
163,👁‍🗨,"{""пузырь"": 13, ""глаза"": 11, ""свидетель"": 4, ""я"": 6, ""речи"": 7, ""Я"": 4}"
164,🗨️,"{""пузырь"": 13, ""речи"": 7, ""влево"": 19}"
165,🗨,"{""пузырь"": 13, ""речи"": 7, ""влево"": 19}"
166,🗯️,"{""пузырь"": 13, ""Заг"": 2, ""гнев"": 3, ""право"": 22, ""Зиг"": 2}"
167,🗯,"{""пузырь"": 13, ""Заг"": 2, ""гнев"": 3, ""право"": 22, ""Зиг"": 2}"
168,💭,"{""шар"": 3, ""пузырь"": 13, ""мышление"": 2, ""мысли"": 1}"
169,💤,"{""зцз"": 2, ""скучно"": 1, ""кровать"": 1, ""сон"": 2}"
170,👋,"{""бить"": 6, ""волна"": 4, ""привет"": 1, ""Прощай"": 1, ""рука"": 119}"
171,👋🏻,"{""бить"": 6, ""свет"": 566, ""рука"": 119}"
172,👋🏼,"{""рука"": 119, ""средний свет"": 561, ""бить"": 6}"
173,👋🏽,"{""рука"": 119, ""средний"": 566, ""бить"": 6}"
174,👋🏾,"{""рука"": 119, ""средний парк"": 561, ""бить"": 6}"
175,👋🏿,"{""бить"": 6, ""рука"": 119, ""темнота"": 564}"
176,🤚,"{""назад"": 25, ""собрано"": 21, ""рука"": 119}"
177,🤚🏻,"{""назад"": 7, ""свет"": 566, ""собрано"": 21, ""рука"": 119}"
178,🤚🏼,"{""назад"": 7, ""средний свет"": 561, ""собрано"": 21, ""рука"": 119}"
179,🤚🏽,"{""назад"": 7, ""средний"": 566, ""собрано"": 21, ""рука"": 119}"
180,🤚🏾,"{""назад"": 7, ""средний парк"": 561, ""собрано"": 21, ""рука"": 119}"
181,🤚🏿,"{""назад"": 7, ""собрано"": 21, ""рука"": 119, ""темнота"": 564}"
182,🖐️,"{""пальцы"": 21, ""пять"": 6, ""сплеем"": 7, ""рука"": 119}"
183,🖐,"{""пальцы"": 21, ""пять"": 6, ""сплеем"": 7, ""рука"": 119}"
184,🖐🏻,"{""свет"": 566, ""пальцы"": 21, ""сплеем"": 7, ""рука"": 119}"
185,🖐🏼,"{""средний свет"": 561, ""пальцы"": 21, ""сплеем"": 7, ""рука"": 119}"
186,🖐🏽,"{""пальцы"": 21, ""средний"": 566, ""сплеем"": 7, ""рука"": 119}"
187,🖐🏾,"{""средний парк"": 561, ""пальцы"": 21, ""сплеем"": 7, ""рука"": 119}"
188,🖐🏿,"{""пальцы"": 21, ""сплеем"": 7, ""рука"": 119, ""темнота"": 564}"
189,✋,"{""высокий"": 6, ""остановиться"": 5, ""собрано"": 21, ""рука"": 119, ""пять"": 6}"
190,✋🏻,"{""свет"": 566, ""собрано"": 21, ""рука"": 119}"
191,✋🏼,"{""средний свет"": 561, ""собрано"": 21, ""рука"": 119}"
192,✋🏽,"{""средний"": 566, ""собрано"": 21, ""рука"": 119}"
193,✋🏾,"{""средний парк"": 561, ""собрано"": 21, ""рука"": 119}"
194,✋🏿,"{""собрано"": 21, ""рука"": 119, ""темнота"": 564}"
195,🖖,"{""звезда"": 15, ""Салют"": 6, ""Вулкан"": 6, ""трек"": 1, ""Спок"": 1}"
196,🖖🏻,"{""Салют"": 6, ""свет"": 566, ""Вулкан"": 6}"
197,🖖🏼,"{""Салют"": 6, ""средний свет"": 561, ""Вулкан"": 6}"
198,🖖🏽,"{""Салют"": 6, ""Вулкан"": 6, ""средний"": 566}"
199,🖖🏾,"{""Салют"": 6, ""Вулкан"": 6, ""средний парк"": 561}"
200,🖖🏿,"{""Салют"": 6, ""Вулкан"": 6, ""темнота"": 564}"
201,👌,"{""рука"": 119, ""идеально"": 2, ""в порядке"": 2, ""ок"": 37}"
202,👌🏻,"{""ок"": 37, ""свет"": 566, ""рука"": 119}"
203,👌🏼,"{""ок"": 37, ""средний свет"": 561, ""рука"": 119}"
204,👌🏽,"{""ок"": 37, ""средний"": 566, ""рука"": 119}"
205,👌🏾,"{""ок"": 37, ""средний парк"": 561, ""рука"": 119}"
206,👌🏿,"{""ок"": 37, ""рука"": 119, ""темнота"": 564}"
207,🤌,"{""кошелек"": 2, ""пиндел"": 6, ""che"": 1, ""палец"": 9, ""Вуай"": 1, ""пальцы"": 21, ""ма"": 1}"
208,🤌🏻,"{""пиндел"": 6, ""свет"": 566, ""пальцы"": 21}"
209,🤌🏼,"{""пиндел"": 6, ""средний свет"": 561, ""пальцы"": 21}"
210,🤌🏽,"{""пиндел"": 6, ""пальцы"": 21, ""средний"": 566}"
211,🤌🏾,"{""пиндел"": 6, ""средний парк"": 561, ""пальцы"": 21}"
212,🤌🏿,"{""пиндел"": 6, ""пальцы"": 21, ""темнота"": 564}"
213,🤏,"{""пинч"": 6, ""рука"": 119}"
214,🤏🏻,"{""пинч"": 6, ""свет"": 566, ""рука"": 119}"
215,🤏🏼,"{""пинч"": 6, ""средний свет"": 561, ""рука"": 119}"
216,🤏🏽,"{""пинч"": 6, ""средний"": 566, ""рука"": 119}"
217,🤏🏾,"{""пинч"": 6, ""средний парк"": 561, ""рука"": 119}"
218,🤏🏿,"{""пинч"": 6, ""рука"": 119, ""темнота"": 564}"
219,✌️,"{""цитаты"": 2, ""воздух"": 3, ""Победа"": 7, ""мир"": 4, ""знак"": 26, ""рука"": 119, ""в"": 2}"
220,✌,"{""цитаты"": 2, ""воздух"": 3, ""Победа"": 7, ""мир"": 4, ""знак"": 26, ""рука"": 119, ""в"": 2}"
221,✌🏻,"{""Победа"": 7, ""свет"": 566, ""рука"": 119}"
222,✌🏼,"{""Победа"": 7, ""средний свет"": 561, ""рука"": 119}"
223,✌🏽,"{""Победа"": 7, ""средний"": 566, ""рука"": 119}"
224,✌🏾,"{""Победа"": 7, ""средний парк"": 561, ""рука"": 119}"
225,✌🏿,"{""Победа"": 7, ""рука"": 119, ""темнота"": 564}"
226,🤞,"{""хорошо"": 2, ""Удачи"": 1, ""пальцы"": 21, ""крест"": 10}"
227,🤞🏻,"{""крест"": 10, ""свет"": 566, ""пальцы"": 21}"
228,🤞🏼,"{""крест"": 10, ""средний свет"": 561, ""пальцы"": 21}"
229,🤞🏽,"{""крест"": 10, ""пальцы"": 21, ""средний"": 566}"
230,🤞🏾,"{""крест"": 10, ""средний парк"": 561, ""пальцы"": 21}"
231,🤞🏿,"{""крест"": 10, ""пальцы"": 21, ""темнота"": 564}"
232,🤟,"{""любовь-вы"": 6, ""жест"": 6}"
233,🤟🏻,"{""любовь-вы"": 6, ""свет"": 566, ""жест"": 6}"
234,🤟🏼,"{""любовь-вы"": 6, ""средний свет"": 561, ""жест"": 6}"
235,🤟🏽,"{""любовь-вы"": 6, ""жест"": 6, ""средний"": 566}"
236,🤟🏾,"{""любовь-вы"": 6, ""жест"": 6, ""средний парк"": 561}"
237,🤟🏿,"{""любовь-вы"": 6, ""жест"": 6, ""темнота"": 564}"
238,🤘,"{""Дьявол"": 3, ""металл"": 1, ""роги"": 8, ""рок"": 9, ""тяжело"": 2, ""пальцы"": 21, ""и"": 12, ""знак"": 26}"
239,🤘🏻,"{""свет"": 566, ""роги"": 8, ""и"": 12, ""знак"": 26}"
240,🤘🏼,"{""средний свет"": 561, ""роги"": 8, ""и"": 12, ""знак"": 26}"
241,🤘🏽,"{""роги"": 8, ""средний"": 566, ""и"": 12, ""знак"": 26}"
242,🤘🏾,"{""роги"": 8, ""средний парк"": 561, ""и"": 12, ""знак"": 26}"
243,🤘🏿,"{""роги"": 8, ""и"": 12, ""знак"": 26, ""темнота"": 564}"
244,🤙,"{""шака"": 1, ""я"": 6, ""звонить"": 7, ""телефон"": 10, ""рука"": 119}"
245,🤙🏻,"{""я"": 6, ""звонить"": 7, ""свет"": 566, ""рука"": 119}"
246,🤙🏼,"{""я"": 6, ""звонить"": 7, ""средний свет"": 561, ""рука"": 119}"
247,🤙🏽,"{""я"": 6, ""звонить"": 7, ""средний"": 566, ""рука"": 119}"
248,🤙🏾,"{""я"": 6, ""звонить"": 7, ""средний парк"": 561, ""рука"": 119}"
249,🤙🏿,"{""я"": 6, ""звонить"": 7, ""рука"": 119, ""темнота"": 564}"
250,👈,"{""индекс"": 34, ""назад"": 25, ""Точка"": 42, ""влево"": 19}"
251,👈🏻,"{""индекс"": 34, ""назад"": 25, ""свет"": 566, ""влево"": 19, ""Точка"": 42}"
252,👈🏼,"{""индекс"": 34, ""назад"": 25, ""средний свет"": 561, ""влево"": 19, ""Точка"": 42}"
253,👈🏽,"{""индекс"": 34, ""назад"": 25, ""влево"": 19, ""средний"": 566, ""Точка"": 42}"
254,👈🏾,"{""индекс"": 34, ""назад"": 25, ""влево"": 19, ""средний парк"": 561, ""Точка"": 42}"
255,👈🏿,"{""индекс"": 34, ""назад"": 25, ""влево"": 19, ""Точка"": 42, ""темнота"": 564}"
256,👉,"{""индекс"": 34, ""назад"": 25, ""Точка"": 42, ""право"": 22}"
257,👉🏻,"{""право"": 22, ""индекс"": 34, ""назад"": 25, ""свет"": 566, ""Точка"": 42}"
258,👉🏼,"{""право"": 22, ""индекс"": 34, ""назад"": 25, ""средний свет"": 561, ""Точка"": 42}"
259,👉🏽,"{""право"": 22, ""индекс"": 34, ""назад"": 25, ""средний"": 566, ""Точка"": 42}"
260,👉🏾,"{""право"": 22, ""индекс"": 34, ""назад"": 25, ""средний парк"": 561, ""Точка"": 42}"
261,👉🏿,"{""право"": 22, ""индекс"": 34, ""назад"": 25, ""Точка"": 42, ""темнота"": 564}"
262,👆,"{""индекс"": 34, ""назад"": 25, ""середина"": 8, ""палец"": 9, ""Точка"": 42}"
263,👆🏻,"{""индекс"": 34, ""назад"": 25, ""свет"": 566, ""Точка"": 42}"
264,👆🏼,"{""индекс"": 34, ""назад"": 25, ""средний свет"": 561, ""Точка"": 42}"
265,👆🏽,"{""индекс"": 34, ""назад"": 25, ""средний"": 566, ""Точка"": 42}"
266,👆🏾,"{""индекс"": 34, ""назад"": 25, ""средний парк"": 561, ""Точка"": 42}"
267,👆🏿,"{""индекс"": 34, ""назад"": 25, ""Точка"": 42, ""темнота"": 564}"
