,emoji,meanings,words,poses
26,🤪,"[""Zany Face"", ""Crazy Eyes"", ""Excited"", ""Wild""]","[""face"", ""excited"", ""zany"", ""eyes"", ""crazy"", ""wild""]","{""zany"": ""ADJ"", ""face"": ""NOUN"", ""crazy"": ""ADJ"", ""eyes"": ""NOUN"", ""excited"": ""ADJ"", ""wild"": ""ADJ""}"
27,😝,"[""Squinting Face with Tongue"", ""Tongue Out""]","[""face"", ""tongue"", ""squinting"", ""with"", ""out""]","{""squinting"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""tongue"": ""NOUN"", ""out"": ""ADP""}"
28,🤑,"[""Money-Mouth Face"", ""Dollar Sign Eyes"", ""Money Face"", ""Rich""]","[""money"", ""face"", ""sign"", ""money-mouth"", ""eyes"", ""dollar"", ""rich""]","{""money-mouth"": ""ADJ"", ""face"": ""NOUN"", ""dollar"": ""ADJ"", ""sign"": ""NOUN"", ""eyes"": ""NOUN"", ""money"": ""NOUN"", ""rich"": ""ADJ""}"
29,🤗,"[""Smiling Face with Open Hands"", ""Hug"", ""Hugging"", ""Hugs""]","[""open"", ""face"", ""smiling"", ""hugs"", ""hugging"", ""hug"", ""with"", ""hands""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""open"": ""NOUN"", ""hands"": ""NOUN"", ""hug"": ""NOUN"", ""hugging"": ""VERB"", ""hugs"": ""NOUN""}"
30,🤭,"[""Face with Hand Over Mouth""]","[""mouth"", ""face"", ""over"", ""with"", ""hand""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""hand"": ""NOUN"", ""over"": ""NOUN"", ""mouth"": ""NOUN""}"
31,🤫,"[""Shushing Face"", ""Hush"", ""Quiet"", ""Shh""]","[""face"", ""hush"", ""quiet"", ""shushing"", ""shh""]","{""shushing"": ""VERB"", ""face"": ""NOUN"", ""hush"": ""NOUN"", ""quiet"": ""ADJ"", ""shh"": ""NOUN""}"
32,🤔,"[""Thinking Face"", ""Chin Thumb"", ""Thinker"", ""Throwing Shade""]","[""chin"", ""face"", ""shade"", ""thumb"", ""thinker"", ""thinking"", ""throwing""]","{""thinking"": ""VERB"", ""face"": ""NOUN"", ""chin"": ""NOUN"", ""thumb"": ""NOUN"", ""thinker"": ""NOUN"", ""throwing"": ""VERB"", ""shade"": ""NOUN""}"
33,🤐,"[""Zipper-Mouth Face"", ""Lips Sealed"", ""Sealed Lips"", ""Zip It""]","[""sealed"", ""face"", ""zip"", ""lips"", ""zipper-mouth"", ""it""]","{""zipper-mouth"": ""ADJ"", ""face"": ""NOUN"", ""lips"": ""NOUN"", ""sealed"": ""VERB"", ""zip"": ""NOUN"", ""it"": ""PRON""}"
34,🤨,"[""Face with Raised Eyebrow"", ""Colbert"", ""The Rock""]","[""the"", ""rock"", ""face"", ""colbert"", ""with"", ""raised"", ""eyebrow""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""raised"": ""VERB"", ""eyebrow"": ""NOUN"", ""colbert"": ""NOUN"", ""the"": ""DET"", ""rock"": ""NOUN""}"
35,😐,"[""Neutral Face"", ""Face With Straight Mouth"", ""Straight Faced""]","[""mouth"", ""neutral"", ""face"", ""faced"", ""straight"", ""with""]","{""neutral"": ""ADJ"", ""face"": ""NOUN"", ""with"": ""ADP"", ""straight"": ""NOUN"", ""mouth"": ""NOUN"", ""faced"": ""NOUN""}"
36,😑,"[""Expressionless Face"", ""Face With Straight Mouth"", ""Straight Face""]","[""mouth"", ""face"", ""straight"", ""with"", ""expressionless""]","{""expressionless"": ""NOUN"", ""face"": ""NOUN"", ""with"": ""ADP"", ""straight"": ""NOUN"", ""mouth"": ""NOUN""}"
37,😶,"[""Face Without Mouth"", ""Blank Face"", ""Mouthless"", ""Silence"", ""Silent""]","[""mouth"", ""silent"", ""face"", ""mouthless"", ""without"", ""silence"", ""blank""]","{""face"": ""NOUN"", ""without"": ""ADP"", ""mouth"": ""NOUN"", ""blank"": ""NOUN"", ""mouthless"": ""NOUN"", ""silence"": ""NOUN"", ""silent"": ""NOUN""}"
38,😶‍🌫️,"[""Face in Clouds"", ""Brain Fog"", ""Forgetful"", ""Haze""]","[""haze"", ""face"", ""clouds"", ""forgetful"", ""in"", ""brain"", ""fog""]","{""face"": ""NOUN"", ""in"": ""ADP"", ""clouds"": ""NOUN"", ""brain"": ""NOUN"", ""fog"": ""NOUN"", ""forgetful"": ""ADJ"", ""haze"": ""NOUN""}"
39,😶‍🌫,"[""Face in Clouds"", ""Brain Fog"", ""Forgetful"", ""Haze""]","[""haze"", ""face"", ""clouds"", ""forgetful"", ""in"", ""brain"", ""fog""]","{""face"": ""NOUN"", ""in"": ""ADP"", ""clouds"": ""NOUN"", ""brain"": ""NOUN"", ""fog"": ""NOUN"", ""forgetful"": ""ADJ"", ""haze"": ""NOUN""}"
40,😏,"[""Smirking Face"", ""Flirting"", ""Sexual Face"", ""Smug Face"", ""Suggestive Smile""]","[""smirking"", ""flirting"", ""face"", ""smile"", ""sexual"", ""suggestive"", ""smug""]","{""smirking"": ""VERB"", ""face"": ""NOUN"", ""flirting"": ""VERB"", ""sexual"": ""ADJ"", ""smug"": ""NOUN"", ""suggestive"": ""NUM"", ""smile"": ""NOUN""}"
41,😒,"[""Unamused Face"", ""Dissatisfied"", ""Meh"", ""Side-Eye"", ""Unimpressed""]","[""dissatisfied"", ""face"", ""side-eye"", ""unimpressed"", ""meh"", ""unamused""]","{""unamused"": ""VERB"", ""face"": ""NOUN"", ""dissatisfied"": ""VERB"", ""meh"": ""NOUN"", ""side-eye"": ""NOUN"", ""unimpressed"": ""VERB""}"
42,🙄,"[""Face with Rolling Eyes"", ""Eye Roll""]","[""face"", ""roll"", ""with"", ""eyes"", ""rolling"", ""eye""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""rolling"": ""NOUN"", ""eyes"": ""NOUN"", ""eye"": ""NOUN"", ""roll"": ""NOUN""}"
43,😬,"[""Grimacing Face"", ""Awkward"", ""Eek"", ""Foot In Mouth"", ""Nervous"", ""Snapchat Mutual #1 Best Friend""]","[""awkward"", ""mutual"", ""#"", ""friend"", ""mouth"", ""snapchat"", ""best"", ""face"", ""foot"", ""1"", ""in"", ""grimacing"", ""eek"", ""nervous""]","{""grimacing"": ""VERB"", ""face"": ""NOUN"", ""awkward"": ""ADV"", ""eek"": ""NOUN"", ""foot"": ""NOUN"", ""in"": ""ADP"", ""mouth"": ""NOUN"", ""nervous"": ""ADJ"", ""snapchat"": ""NOUN"", ""mutual"": ""NOUN"", ""#"": ""."", ""1"": ""NUM"", ""best"": ""NOUN"", ""friend"": ""NOUN""}"
44,😮‍💨,"[""Face Exhaling"", ""Sigh""]","[""face"", ""sigh"", ""exhaling""]","{""face"": ""NOUN"", ""exhaling"": ""VERB"", ""sigh"": ""ADJ""}"
45,🤥,"[""Lying Face"", ""Liar"", ""Long Nose"", ""Pinocchio""]","[""lying"", ""long"", ""liar"", ""face"", ""nose"", ""pinocchio""]","{""lying"": ""VERB"", ""face"": ""NOUN"", ""liar"": ""NOUN"", ""long"": ""ADV"", ""nose"": ""ADV"", ""pinocchio"": ""NOUN""}"
46,😌,"[""Relieved Face"", ""Content"", ""Pleased""]","[""content"", ""relieved"", ""pleased"", ""face""]","{""relieved"": ""VERB"", ""face"": ""NOUN"", ""content"": ""NOUN"", ""pleased"": ""ADJ""}"
47,😔,"[""Pensive Face"", ""Pensive"", ""Sad"", ""Sadface"", ""Sorrowful""]","[""sadface"", ""face"", ""pensive"", ""sorrowful"", ""sad""]","{""pensive"": ""ADJ"", ""face"": ""NOUN"", ""sad"": ""NOUN"", ""sadface"": ""NOUN"", ""sorrowful"": ""ADJ""}"
48,😪,"[""Sleepy Face"", ""Side-Tear"", ""Snot Bubble""]","[""sleepy"", ""snot"", ""face"", ""bubble"", ""side-tear""]","{""sleepy"": ""NOUN"", ""face"": ""NOUN"", ""side-tear"": ""ADJ"", ""snot"": ""NOUN"", ""bubble"": ""NOUN""}"
49,🤤,"[""Drooling Face"", ""Drool""]","[""drool"", ""face"", ""drooling""]","{""drooling"": ""VERB"", ""face"": ""NOUN"", ""drool"": ""NOUN""}"
50,😴,"[""Sleeping Face"", ""Sleep Face"", ""Snoring"", ""Zzz Face""]","[""face"", ""sleep"", ""sleeping"", ""snoring"", ""zzz""]","{""sleeping"": ""VERB"", ""face"": ""NOUN"", ""sleep"": ""ADJ"", ""snoring"": ""VERB"", ""zzz"": ""NOUN""}"
51,😷,"[""Face with Medical Mask"", ""Coronavirus"", ""COVID-19"", ""Mask Face"", ""Surgical Mask""]","[""covid-19"", ""face"", ""with"", ""medical"", ""surgical"", ""coronavirus"", ""mask""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""medical"": ""NOUN"", ""mask"": ""NOUN"", ""coronavirus"": ""NOUN"", ""covid-19"": ""NOUN"", ""surgical"": ""ADJ""}"
52,🤒,"[""Face with Thermometer"", ""Ill"", ""Sick""]","[""sick"", ""face"", ""ill"", ""with"", ""thermometer""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""thermometer"": ""NOUN"", ""ill"": ""NOUN"", ""sick"": ""ADJ""}"
53,🤕,"[""Face with Head-Bandage"", ""Bandaged Head"", ""Clumsy"", ""Injured""]","[""injured"", ""face"", ""head"", ""clumsy"", ""head-bandage"", ""with"", ""bandaged""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""head-bandage"": ""NOUN"", ""bandaged"": ""VERB"", ""head"": ""NOUN"", ""clumsy"": ""NOUN"", ""injured"": ""VERB""}"
54,🤢,"[""Nauseated Face"", ""Disgust"", ""Green Face"", ""Vomit""]","[""nauseated"", ""green"", ""face"", ""disgust"", ""vomit""]","{""nauseated"": ""VERB"", ""face"": ""NOUN"", ""disgust"": ""NOUN"", ""green"": ""ADJ"", ""vomit"": ""NOUN""}"
55,🤮,"[""Face Vomiting"", ""Spew"", ""Throwing Up"", ""Vomit""]","[""spew"", ""face"", ""vomiting"", ""vomit"", ""up"", ""throwing""]","{""face"": ""NOUN"", ""vomiting"": ""VERB"", ""spew"": ""NOUN"", ""throwing"": ""VERB"", ""up"": ""PRT"", ""vomit"": ""NOUN""}"
56,🤧,"[""Sneezing Face"", ""Gesundheit""]","[""face"", ""gesundheit"", ""sneezing""]","{""sneezing"": ""VERB"", ""face"": ""NOUN"", ""gesundheit"": ""NOUN""}"
57,🥵,"[""Hot Face""]","[""face"", ""hot""]","{""hot"": ""NOUN"", ""face"": ""NOUN""}"
58,🥶,"[""Cold Face""]","[""face"", ""cold""]","{""cold"": ""ADJ"", ""face"": ""NOUN""}"
59,🥴,"[""Woozy Face"", ""Drunk Face""]","[""woozy"", ""face"", ""drunk""]","{""woozy"": ""NOUN"", ""face"": ""NOUN"", ""drunk"": ""NOUN""}"
60,😵,"[""Face with Crossed-Out Eyes"", ""Cross Eyes Face"", ""Spiral Eyes Face""]","[""face"", ""cross"", ""crossed-out"", ""with"", ""spiral"", ""eyes""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""crossed-out"": ""NOUN"", ""eyes"": ""NOUN"", ""cross"": ""NOUN"", ""spiral"": ""ADJ""}"
61,😵‍💫,"[""Face with Spiral Eyes"", ""Dizzy Face""]","[""face"", ""dizzy"", ""with"", ""spiral"", ""eyes""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""spiral"": ""NOUN"", ""eyes"": ""NOUN"", ""dizzy"": ""NOUN""}"
62,🤯,"[""Exploding Head"", ""Mind Blown""]","[""blown"", ""head"", ""exploding"", ""mind""]","{""exploding"": ""VERB"", ""head"": ""NOUN"", ""mind"": ""NOUN"", ""blown"": ""NOUN""}"
63,🤠,"[""Cowboy Hat Face"", ""Cowboy""]","[""face"", ""hat"", ""cowboy""]","{""cowboy"": ""NOUN"", ""hat"": ""NOUN"", ""face"": ""NOUN""}"
64,🥳,"[""Partying Face""]","[""partying"", ""face""]","{""partying"": ""VERB"", ""face"": ""NOUN""}"
65,🥸,"[""Disguised Face""]","[""disguised"", ""face""]","{""disguised"": ""VERB"", ""face"": ""NOUN""}"
66,😎,"[""Smiling Face with Sunglasses"", ""Cool"", ""Mutual Best Friends (Snapchat)"", ""Sunglasses""]","[""("", ""smiling"", ""friends"", ""mutual"", "")"", ""snapchat"", ""best"", ""face"", ""cool"", ""sunglasses"", ""with""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""sunglasses"": ""NOUN"", ""cool"": ""NOUN"", ""mutual"": ""ADJ"", ""best"": ""NOUN"", ""friends"": ""NOUN"", ""("": ""."", ""snapchat"": ""NOUN"", "")"": "".""}"
67,🤓,"[""Nerd Face"", ""Nerdy""]","[""nerd"", ""face"", ""nerdy""]","{""nerd"": ""NOUN"", ""face"": ""NOUN"", ""nerdy"": ""NOUN""}"
68,🧐,"[""Face with Monocle""]","[""monocle"", ""face"", ""with""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""monocle"": ""NOUN""}"
69,😕,"[""Confused Face"", ""Nonplussed"", ""Puzzled"", "":S""]","[""s"", ""face"", "":"", ""puzzled"", ""nonplussed"", ""confused""]","{""confused"": ""ADJ"", ""face"": ""NOUN"", ""nonplussed"": ""VERB"", ""puzzled"": ""VERB"", "":"": ""."", ""s"": ""NOUN""}"
70,😟,"[""Worried Face"", ""Sad"", ""Sadface""]","[""worried"", ""sadface"", ""face"", ""sad""]","{""worried"": ""ADJ"", ""face"": ""NOUN"", ""sad"": ""NOUN"", ""sadface"": ""NOUN""}"
71,🙁,"[""Slightly Frowning Face"", ""Slightly Sad""]","[""frowning"", ""sad"", ""face"", ""slightly""]","{""slightly"": ""ADV"", ""frowning"": ""VERB"", ""face"": ""NOUN"", ""sad"": ""NOUN""}"
72,☹️,"[""Frowning Face"", ""Megafrown""]","[""frowning"", ""face"", ""megafrown""]","{""frowning"": ""VERB"", ""face"": ""NOUN"", ""megafrown"": ""NOUN""}"
73,☹,"[""Frowning Face"", ""Megafrown""]","[""frowning"", ""face"", ""megafrown""]","{""frowning"": ""VERB"", ""face"": ""NOUN"", ""megafrown"": ""NOUN""}"
74,😮,"[""Face with Open Mouth"", ""Open Mouth"", ""Surprised""]","[""open"", ""mouth"", ""face"", ""surprised"", ""with""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""open"": ""ADJ"", ""mouth"": ""NOUN"", ""surprised"": ""ADJ""}"
75,😯,"[""Hushed Face"", ""Surprise"", ""Surprised Face""]","[""face"", ""hushed"", ""surprised"", ""surprise""]","{""hushed"": ""VERB"", ""face"": ""NOUN"", ""surprise"": ""NOUN"", ""surprised"": ""ADJ""}"
76,😲,"[""Astonished Face"", ""Drunk Face"", ""Gasping Face"", ""Shocked Face""]","[""shocked"", ""face"", ""gasping"", ""astonished"", ""drunk""]","{""astonished"": ""NOUN"", ""face"": ""NOUN"", ""drunk"": ""NOUN"", ""gasping"": ""VERB"", ""shocked"": ""ADJ""}"
77,😳,"[""Flushed Face"", "":$"", ""Blushing Face"", ""Embarrassed"", ""Shame""]","[""face"", ""shame"", ""$"", ""blushing"", ""flushed"", ""embarrassed"", "":""]","{""flushed"": ""NOUN"", ""face"": ""NOUN"", "":"": ""."", ""$"": ""."", ""blushing"": ""VERB"", ""embarrassed"": ""VERB"", ""shame"": ""NOUN""}"
78,🥺,"[""Pleading Face"", ""Begging"", ""Glossy Eyes"", ""Simp""]","[""face"", ""begging"", ""glossy"", ""eyes"", ""simp"", ""pleading""]","{""pleading"": ""VERB"", ""face"": ""NOUN"", ""begging"": ""VERB"", ""glossy"": ""ADJ"", ""eyes"": ""NOUN"", ""simp"": ""NOUN""}"
79,😦,"[""Frowning Face with Open Mouth"", ""Yawning""]","[""frowning"", ""open"", ""mouth"", ""face"", ""yawning"", ""with""]","{""frowning"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""open"": ""NOUN"", ""mouth"": ""NOUN"", ""yawning"": ""VERB""}"
80,😧,"[""Anguished Face"", ""Pained Face""]","[""pained"", ""face"", ""anguished""]","{""anguished"": ""NOUN"", ""face"": ""NOUN"", ""pained"": ""VERB""}"
81,😨,"[""Fearful Face"", ""Scared"", ""Surprised""]","[""scared"", ""fearful"", ""face"", ""surprised""]","{""fearful"": ""ADJ"", ""face"": ""NOUN"", ""scared"": ""VERB"", ""surprised"": ""ADJ""}"
82,😰,"[""Anxious Face with Sweat"", ""Blue Face"", ""Concerned Face"", ""Nervous Face""]","[""sweat"", ""face"", ""anxious"", ""concerned"", ""blue"", ""with"", ""nervous""]","{""anxious"": ""ADJ"", ""face"": ""NOUN"", ""with"": ""ADP"", ""sweat"": ""NOUN"", ""blue"": ""NOUN"", ""concerned"": ""ADJ"", ""nervous"": ""ADJ""}"
83,😥,"[""Sad but Relieved Face"", ""Eyebrow Sweat""]","[""face"", ""relieved"", ""sweat"", ""sad"", ""eyebrow"", ""but""]","{""sad"": ""NOUN"", ""but"": ""CONJ"", ""relieved"": ""NOUN"", ""face"": ""NOUN"", ""eyebrow"": ""NOUN"", ""sweat"": ""NOUN""}"
84,😢,"[""Crying Face"", ""Crying"", ""Tear""]","[""tear"", ""crying"", ""face""]","{""crying"": ""VERB"", ""face"": ""NOUN"", ""tear"": ""VERB""}"
85,😭,"[""Loudly Crying Face"", ""Bawling"", ""Crying"", ""Sad Tears"", ""Sobbing""]","[""bawling"", ""crying"", ""face"", ""tears"", ""sad"", ""sobbing"", ""loudly""]","{""loudly"": ""ADV"", ""crying"": ""VERB"", ""face"": ""NOUN"", ""bawling"": ""VERB"", ""sad"": ""NUM"", ""tears"": ""NOUN"", ""sobbing"": ""VERB""}"
86,😱,"[""Face Screaming in Fear"", ""Home Alone"", ""Scream"", ""Screaming Face""]","[""home"", ""alone"", ""scream"", ""screaming"", ""face"", ""in"", ""fear""]","{""face"": ""NOUN"", ""screaming"": ""VERB"", ""in"": ""ADP"", ""fear"": ""NOUN"", ""home"": ""NOUN"", ""alone"": ""ADV"", ""scream"": ""NOUN""}"
87,😖,"[""Confounded Face"", ""Quivering Mouth"", ""Scrunched Face""]","[""mouth"", ""face"", ""quivering"", ""scrunched"", ""confounded""]","{""confounded"": ""ADJ"", ""face"": ""NOUN"", ""quivering"": ""VERB"", ""mouth"": ""NOUN"", ""scrunched"": ""ADJ""}"
88,😣,"[""Persevering Face"", ""Helpless Face"", ""Scrunched Eyes""]","[""persevering"", ""face"", ""helpless"", ""scrunched"", ""eyes""]","{""persevering"": ""VERB"", ""face"": ""NOUN"", ""helpless"": ""NOUN"", ""scrunched"": ""VERB"", ""eyes"": ""NOUN""}"
89,😞,"[""Disappointed Face"", "":("", ""Sad"", ""Sadface""]","[""sadface"", ""face"", ""("", ""sad"", ""disappointed"", "":""]","{""disappointed"": ""ADJ"", ""face"": ""NOUN"", "":"": ""."", ""("": ""."", ""sad"": ""NOUN"", ""sadface"": ""NOUN""}"
