,emoji,src_meanings,clean_meanings
76,😲,"[""Astonished Face"", ""Drunk\u00a0Face"", ""Gasping Face"", ""Shocked Face""]","[""astonished face"", ""drunk face"", ""gasping face"", ""shocked face""]"
77,😳,"[""Flushed Face"", "":$"", ""Blushing Face"", ""Embarrassed"", ""Shame""]","[""flushed face"", "":$"", ""blushing face"", ""embarrassed"", ""shame""]"
78,🥺,"[""Pleading Face"", ""Begging"", ""Glossy Eyes"", ""Simp""]","[""pleading face"", ""begging"", ""glossy eyes"", ""simp""]"
79,😦,"[""Frowning Face with Open Mouth"", ""Yawning""]","[""frowning open mouth"", ""yawning""]"
80,😧,"[""Anguished Face"", ""Pained Face""]","[""anguished face"", ""pained face""]"
81,😨,"[""Fearful Face"", ""Scared"", ""Surprised""]","[""fearful face"", ""scared"", ""surprised""]"
82,😰,"[""Anxious Face with Sweat"", ""Blue Face"", ""Concerned\u00a0Face"", ""Nervous Face""]","[""anxious sweat"", ""blue face"", ""concerned face"", ""nervous face""]"
83,😥,"[""Sad but Relieved Face"", ""Eyebrow Sweat""]","[""sad but relieved face"", ""eyebrow sweat""]"
84,😢,"[""Crying Face"", ""Crying"", ""Tear""]","[""crying face"", ""crying"", ""tear""]"
85,😭,"[""Loudly Crying Face"", ""Bawling"", ""Crying"", ""Sad Tears"", ""Sobbing""]","[""loudly crying face"", ""bawling"", ""crying"", ""sad tears"", ""sobbing""]"
86,😱,"[""Face Screaming in Fear"", ""Home Alone"", ""Scream"", ""Screaming Face""]","[""face screaming in fear"", ""home alone"", ""scream"", ""screaming face""]"
87,😖,"[""Confounded Face"", ""Quivering Mouth"", ""Scrunched Face""]","[""confounded face"", ""quivering mouth"", ""scrunched face""]"
88,😣,"[""Persevering Face"", ""Helpless Face"", ""Scrunched Eyes""]","[""persevering face"", ""helpless face"", ""scrunched eyes""]"
89,😞,"[""Disappointed Face"", "":("", ""Sad"", ""Sadface""]","[""disappointed face"", "":("", ""sad"", ""sadface""]"
90,😓,"[""Downcast Face with Sweat"", ""Hard Work"", ""Sad Sweat Face""]","[""downcast sweat"", ""hard work"", ""sad sweat face""]"
91,😩,"[""Weary Face"", ""Distraught Face"", ""Wailing""]","[""weary face"", ""distraught face"", ""wailing""]"
92,😫,"[""Tired Face"", ""Exhausted"", ""Fed Up""]","[""tired face"", ""exhausted"", ""fed up""]"
93,🥱,"[""Yawning Face""]","[""yawning face""]"
94,😤,"[""Face with Steam From Nose"", ""Airing of Grievances"", ""Frustrated"", ""Mad Face"", ""Steaming""]","[""steam from nose"", ""airing of grievances"", ""frustrated"", ""mad face"", ""steaming""]"
95,😡,"[""Enraged Face"", ""Angry Face"", ""Grumpy Face"", ""Mad Face"", ""Red Face""]","[""enraged face"", ""angry face"", ""grumpy face"", ""mad face"", ""red face""]"
96,😠,"[""Angry Face"", ""Angry"", ""Grumpy Face""]","[""angry face"", ""angry"", ""grumpy face""]"
97,🤬,"[""Face with Symbols on Mouth"", ""Cursing"", ""Cussing"", ""Grawlix"", ""Swearing""]","[""symbols on mouth"", ""cursing"", ""cussing"", ""grawlix"", ""swearing""]"
98,😈,"[""Smiling Face with Horns"", ""Devil"", ""Devil Horns"", ""Happy Devil"", ""Purple Devil"", ""Red\u00a0Devil""]","[""smiling horns"", ""devil"", ""devil horns"", ""happy devil"", ""purple devil"", ""red devil""]"
99,👿,"[""Angry Face with Horns"", ""Devil"", ""Devil Horns"", ""Purple Devil"", ""Purple Goblin"", ""Sad Devil""]","[""angry horns"", ""devil"", ""devil horns"", ""purple devil"", ""purple goblin"", ""sad devil""]"
100,💀,"[""Skull"", ""Death"", ""Grey Skull"", ""Skeleton""]","[""skull"", ""death"", ""grey skull"", ""skeleton""]"
101,☠️,"[""Skull and Crossbones""]","[""skull"", ""crossbones""]"
102,☠,"[""Skull and Crossbones""]","[""skull"", ""crossbones""]"
103,💩,"[""Pile of Poo"", ""Dog Dirt"", ""Smiling Poop""]","[""pile of poo"", ""dog dirt"", ""smiling poop""]"
104,🤡,"[""Clown Face""]","[""clown face""]"
105,👹,"[""Ogre"", ""Mask Face"", ""Oni"", ""Red Monster""]","[""ogre"", ""mask face"", ""oni"", ""red monster""]"
106,👺,"[""Goblin"", ""Long Nose Face"", ""Red Mask"", ""Tengu""]","[""goblin"", ""long nose face"", ""red mask"", ""tengu""]"
107,👻,"[""Ghost"", ""Disappear"", ""Ghoul"", ""Halloween""]","[""ghost"", ""disappear"", ""ghoul"", ""halloween""]"
108,👽,"[""Alien"", ""Alien"", ""ET""]","[""alien"", ""alien"", ""et""]"
109,👾,"[""Alien Monster"", ""Space Invader"", ""Video Game Monster""]","[""alien monster"", ""space invader"", ""video game monster""]"
110,🤖,"[""Robot"", ""Robot""]","[""robot"", ""robot""]"
111,😺,"[""Grinning Cat"", ""Happy Cat"", ""Smiling Cat""]","[""grinning cat"", ""happy cat"", ""smiling cat""]"
112,😸,"[""Grinning Cat with Smiling Eyes"", ""Grinning Cat"", ""Happy Cat""]","[""grinning cat with smiling eyes"", ""grinning cat"", ""happy cat""]"
113,😹,"[""Cat with Tears of Joy"", ""Happy Tears Cat"", ""Laughing Cat""]","[""cat with tears of joy"", ""happy tears cat"", ""laughing cat""]"
114,😻,"[""Smiling Cat with Heart-Eyes"", ""Heart Eyes Cat"", ""Loving\u00a0Cat""]","[""smiling cat with heart-eyes"", ""heart eyes cat"", ""loving cat""]"
115,😼,"[""Cat with Wry Smile"", ""Smirking Cat""]","[""cat with wry smile"", ""smirking cat""]"
116,😽,"[""Kissing Cat"", ""Kissing Cat""]","[""kissing cat"", ""kissing cat""]"
117,🙀,"[""Weary Cat"", ""Scared Cat"", ""Screaming Cat""]","[""weary cat"", ""scared cat"", ""screaming cat""]"
118,😿,"[""Crying Cat"", ""Crying Cat"", ""Sad\u00a0Cat""]","[""crying cat"", ""crying cat"", ""sad cat""]"
119,😾,"[""Pouting Cat"", ""Grumpy Cat""]","[""pouting cat"", ""grumpy cat""]"
120,🙈,"[""See-No-Evil Monkey"", ""Mizaru"", ""Monkey Covering Eyes""]","[""see-no-evil monkey"", ""mizaru"", ""monkey covering eyes""]"
121,🙉,"[""Hear-No-Evil Monkey"", ""Kikazaru"", ""Monkey Covering Ears""]","[""hear-no-evil monkey"", ""kikazaru"", ""monkey covering ears""]"
122,🙊,"[""Speak-No-Evil Monkey"", ""Iwazaru"", ""Monkey Covering Mouth"", ""No\u00a0Speaking""]","[""speak-no-evil monkey"", ""iwazaru"", ""monkey covering mouth"", ""no speaking""]"
123,💋,"[""Kiss Mark"", ""Kissing Lips""]","[""kiss mark"", ""kissing lips""]"
124,💌,"[""Love Letter"", ""Heart Envelope"", ""Love Note""]","[""love letter"", ""heart envelope"", ""love note""]"
125,💘,"[""Heart with Arrow"", ""Cupid Arrow"", ""Lovestruck""]","[""heart with arrow"", ""cupid arrow"", ""lovestruck""]"
126,💝,"[""Heart with Ribbon"", ""Chocolate Box"", ""Gift Box"", ""Gift Heart""]","[""heart with ribbon"", ""chocolate box"", ""gift box"", ""gift heart""]"
127,💖,"[""Sparkling Heart"", ""Sparkle Heart"", ""Sparkly Heart"", ""Stars\u00a0Heart""]","[""sparkling heart"", ""sparkle heart"", ""sparkly heart"", ""stars heart""]"
128,💗,"[""Growing Heart"", ""Multiple Heart"", ""Triple Heart""]","[""growing heart"", ""multiple heart"", ""triple heart""]"
129,💓,"[""Beating Heart"", ""Heart Alarm"", ""Heartbeat"", ""Wifi Heart""]","[""beating heart"", ""heart alarm"", ""heartbeat"", ""wifi heart""]"
130,💞,"[""Revolving Hearts"", ""Two Hearts""]","[""revolving hearts"", ""two hearts""]"
131,💕,"[""Two Hearts"", ""Small Hearts"", ""Two Pink Hearts""]","[""two hearts"", ""small hearts"", ""two pink hearts""]"
132,💟,"[""Heart Decoration""]","[""heart decoration""]"
133,❣️,"[""Heart Exclamation"", ""Heart Above Dot""]","[""heart exclamation"", ""heart above dot""]"
134,❣,"[""Heart Exclamation"", ""Heart Above Dot""]","[""heart exclamation"", ""heart above dot""]"
135,💔,"[""Broken Heart"", ""Breaking Heart"", ""Brokenhearted"", ""Heart Broken""]","[""broken heart"", ""breaking heart"", ""brokenhearted"", ""heart broken""]"
136,❤️‍🔥,"[""Heart on Fire""]","[""heart on fire""]"
137,❤‍🔥,"[""Heart on Fire""]","[""heart on fire""]"
138,❤️‍🩹,"[""Mending Heart"", ""Bandaged Heart"", ""Healing Heart"", ""Unbroken Heart""]","[""mending heart"", ""bandaged heart"", ""healing heart"", ""unbroken heart""]"
139,❤‍🩹,"[""Mending Heart"", ""Bandaged Heart"", ""Healing Heart"", ""Unbroken Heart""]","[""mending heart"", ""bandaged heart"", ""healing heart"", ""unbroken heart""]"
140,❤️,"[""Red Heart"", ""Heart"", ""Love Heart"", ""Red Heart""]","[""red heart"", ""heart"", ""love heart"", ""red heart""]"
141,❤,"[""Red Heart"", ""Heart"", ""Love Heart"", ""Red Heart""]","[""red heart"", ""heart"", ""love heart"", ""red heart""]"
142,🧡,"[""Orange Heart""]","[""orange heart""]"
143,💛,"[""Yellow Heart"", ""#1 BF Snapchat"", ""Gold Heart""]","[""yellow heart"", ""#1 bf snapchat"", ""gold heart""]"
144,💚,"[""Green Heart"", ""NCT Heart""]","[""green heart"", ""nct heart""]"
145,💙,"[""Blue Heart"", ""Brand Heart"", ""Neutral Heart""]","[""blue heart"", ""brand heart"", ""neutral heart""]"
146,💜,"[""Purple Heart"", ""BTS Emoji""]","[""purple heart"", ""bts emoji""]"
147,🤎,"[""Brown Heart""]","[""brown heart""]"
148,🖤,"[""Black Heart"", ""Dark Heart""]","[""black heart"", ""dark heart""]"
149,🤍,"[""White Heart""]","[""white heart""]"
150,💯,"[""Hundred Points"", ""100"", ""Keep It 100"", ""Perfect Score""]","[""hundred points"", ""100"", ""keep it 100"", ""perfect score""]"
151,💢,"[""Anger Symbol"", ""Anger Sign"", ""Vein Pop""]","[""anger symbol"", ""anger sign"", ""vein pop""]"
152,💥,"[""Collision"", ""Bang"", ""Explode"", ""Impact"", ""Red Spark""]","[""collision"", ""bang"", ""explode"", ""impact"", ""red spark""]"
153,💫,"[""Dizzy"", ""Circle And Star"", ""Dizzy""]","[""dizzy"", ""circle"", ""star"", ""dizzy""]"
154,💦,"[""Sweat Droplets"", ""Plewds"", ""Splashing Water"", ""Water Drops""]","[""sweat droplets"", ""plewds"", ""splashing water"", ""water drops""]"
155,💨,"[""Dashing Away"", ""Fast"", ""Steam"", ""Vaping"", ""Wind""]","[""dashing away"", ""fast"", ""steam"", ""vaping"", ""wind""]"
156,🕳️,"[""Hole""]","[""hole""]"
157,🕳,"[""Hole""]","[""hole""]"
158,💣,"[""Bomb""]","[""bomb""]"
159,💬,"[""Speech Balloon"", ""Chat Bubble"", ""Speech Bubble""]","[""speech balloon"", ""chat bubble"", ""speech bubble""]"
160,👁️‍🗨️,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""eye in speech bubble"", ""i am a witness""]"
161,👁‍🗨️,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""eye in speech bubble"", ""i am a witness""]"
162,👁️‍🗨,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""eye in speech bubble"", ""i am a witness""]"
163,👁‍🗨,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""eye in speech bubble"", ""i am a witness""]"
164,🗨️,"[""Left Speech Bubble""]","[""left speech bubble""]"
165,🗨,"[""Left Speech Bubble""]","[""left speech bubble""]"
166,🗯️,"[""Right Anger Bubble"", ""Zig Zag Bubble""]","[""right anger bubble"", ""zig zag bubble""]"
167,🗯,"[""Right Anger Bubble"", ""Zig Zag Bubble""]","[""right anger bubble"", ""zig zag bubble""]"
168,💭,"[""Thought Balloon"", ""Thinking Bubble"", ""Thought Bubble""]","[""thought balloon"", ""thinking bubble"", ""thought bubble""]"
169,💤,"[""Zzz"", ""Bedtime"", ""Boring"", ""Sleep"", ""Zzz""]","[""zzz"", ""bedtime"", ""boring"", ""sleep"", ""zzz""]"
170,👋,"[""Waving Hand"", ""Goodbye"", ""Hand Wave"", ""Hello"", ""Waving""]","[""waving"", ""goodbye"", ""hand wave"", ""hello"", ""waving""]"
171,👋🏻,"[""Waving Hand: Light Skin Tone""]","[""waving""]"
172,👋🏼,"[""Waving Hand: Medium-Light Skin Tone""]","[""waving""]"
173,👋🏽,"[""Waving Hand: Medium Skin Tone""]","[""waving""]"
174,👋🏾,"[""Waving Hand: Medium-Dark Skin Tone""]","[""waving""]"
175,👋🏿,"[""Waving Hand: Dark Skin Tone""]","[""waving""]"
176,🤚,"[""Raised Back of Hand"", ""Backhand""]","[""raised back of"", ""backhand""]"
177,🤚🏻,"[""Raised Back of Hand: Light Skin Tone""]","[""raised back of""]"
178,🤚🏼,"[""Raised Back of Hand: Medium-Light Skin Tone""]","[""raised back of""]"
179,🤚🏽,"[""Raised Back of Hand: Medium Skin Tone""]","[""raised back of""]"
180,🤚🏾,"[""Raised Back of Hand: Medium-Dark Skin Tone""]","[""raised back of""]"
181,🤚🏿,"[""Raised Back of Hand: Dark Skin Tone""]","[""raised back of""]"
182,🖐️,"[""Hand with Fingers Splayed"", ""Five Hand"", ""Splayed Hand""]","[""hand with fingers splayed"", ""five"", ""splayed""]"
183,🖐,"[""Hand with Fingers Splayed"", ""Five Hand"", ""Splayed Hand""]","[""hand with fingers splayed"", ""five"", ""splayed""]"
184,🖐🏻,"[""Hand with Fingers Splayed: Light Skin Tone""]","[""hand with fingers splayed""]"
185,🖐🏼,"[""Hand with Fingers Splayed: Medium-Light Skin Tone""]","[""hand with fingers splayed""]"
186,🖐🏽,"[""Hand with Fingers Splayed: Medium Skin Tone""]","[""hand with fingers splayed""]"
187,🖐🏾,"[""Hand with Fingers Splayed: Medium-Dark Skin Tone""]","[""hand with fingers splayed""]"
188,🖐🏿,"[""Hand with Fingers Splayed: Dark Skin Tone""]","[""hand with fingers splayed""]"
189,✋,"[""Raised Hand"", ""High Five"", ""Stop""]","[""raised"", ""high five"", ""stop""]"
190,✋🏻,"[""Raised Hand: Light Skin Tone""]","[""raised""]"
191,✋🏼,"[""Raised Hand: Medium-Light Skin Tone""]","[""raised""]"
192,✋🏽,"[""Raised Hand: Medium Skin Tone""]","[""raised""]"
193,✋🏾,"[""Raised Hand: Medium-Dark Skin Tone""]","[""raised""]"
194,✋🏿,"[""Raised Hand: Dark Skin Tone""]","[""raised""]"
195,🖖,"[""Vulcan Salute"", ""Spock"", ""Star Trek"", ""Vulcan Salute""]","[""vulcan salute"", ""spock"", ""star trek"", ""vulcan salute""]"
196,🖖🏻,"[""Vulcan Salute: Light Skin Tone""]","[""vulcan salute""]"
197,🖖🏼,"[""Vulcan Salute: Medium-Light Skin Tone""]","[""vulcan salute""]"
198,🖖🏽,"[""Vulcan Salute: Medium Skin Tone""]","[""vulcan salute""]"
199,🖖🏾,"[""Vulcan Salute: Medium-Dark Skin Tone""]","[""vulcan salute""]"
200,🖖🏿,"[""Vulcan Salute: Dark Skin Tone""]","[""vulcan salute""]"
201,👌,"[""OK Hand"", ""Okay"", ""Perfect""]","[""ok"", ""okay"", ""perfect""]"
202,👌🏻,"[""OK Hand: Light Skin Tone""]","[""ok""]"
203,👌🏼,"[""OK Hand: Medium-Light Skin Tone""]","[""ok""]"
204,👌🏽,"[""OK Hand: Medium Skin Tone""]","[""ok""]"
205,👌🏾,"[""OK Hand: Medium-Dark Skin Tone""]","[""ok""]"
206,👌🏿,"[""OK Hand: Dark Skin Tone""]","[""ok""]"
207,🤌,"[""Pinched Fingers"", ""Finger Purse"", ""Ma Che Vuoi""]","[""pinched fingers"", ""finger purse"", ""ma che vuoi""]"
208,🤌🏻,"[""Pinched Fingers: Light Skin Tone""]","[""pinched fingers""]"
209,🤌🏼,"[""Pinched Fingers: Medium-Light Skin Tone""]","[""pinched fingers""]"
210,🤌🏽,"[""Pinched Fingers: Medium Skin Tone""]","[""pinched fingers""]"
211,🤌🏾,"[""Pinched Fingers: Medium-Dark Skin Tone""]","[""pinched fingers""]"
212,🤌🏿,"[""Pinched Fingers: Dark Skin Tone""]","[""pinched fingers""]"
213,🤏,"[""Pinching Hand""]","[""pinching""]"
214,🤏🏻,"[""Pinching Hand: Light Skin Tone""]","[""pinching""]"
215,🤏🏼,"[""Pinching Hand: Medium-Light Skin Tone""]","[""pinching""]"
216,🤏🏽,"[""Pinching Hand: Medium Skin Tone""]","[""pinching""]"
217,🤏🏾,"[""Pinching Hand: Medium-Dark Skin Tone""]","[""pinching""]"
218,🤏🏿,"[""Pinching Hand: Dark Skin Tone""]","[""pinching""]"
219,✌️,"[""Victory Hand"", ""Air Quotes"", ""Peace"", ""Peace Sign"", ""V Sign""]","[""victory"", ""air quotes"", ""peace"", ""peace sign"", ""v sign""]"
220,✌,"[""Victory Hand"", ""Air Quotes"", ""Peace"", ""Peace Sign"", ""V Sign""]","[""victory"", ""air quotes"", ""peace"", ""peace sign"", ""v sign""]"
221,✌🏻,"[""Victory Hand: Light Skin Tone""]","[""victory""]"
222,✌🏼,"[""Victory Hand: Medium-Light Skin Tone""]","[""victory""]"
223,✌🏽,"[""Victory Hand: Medium Skin Tone""]","[""victory""]"
224,✌🏾,"[""Victory Hand: Medium-Dark Skin Tone""]","[""victory""]"
