,emoji,meanings_ru,synsets,synsets_names
48,😪,"['сонливое лицо', 'боковой конец', 'не пузырь']","[""106579-N"", ""138167-N"", ""2149-N"", ""119774-A"", ""120053-A"", ""106723-N"", ""117720-N"", ""145431-N"", ""7277-N"", ""150402-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБОЧНЫЙ (ВТОРОСТЕПЕННЫЙ)"", ""ВТОРОСТЕПЕННЫЙ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБОЧНЫЙ (ВТОРОСТЕПЕННЫЙ)"", ""ВТОРОСТЕПЕННЫЙ"", ""ПРОМЕЖУТОК ВРЕМЕНИ"", ""КОНЕЦ ВО ВРЕМЕНИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБОЧНЫЙ (ВТОРОСТЕПЕННЫЙ)"", ""ВТОРОСТЕПЕННЫЙ"", ""ПРОМЕЖУТОК ВРЕМЕНИ"", ""КОНЕЦ ВО ВРЕМЕНИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБОЧНЫЙ (ВТОРОСТЕПЕННЫЙ)"", ""ВТОРОСТЕПЕННЫЙ"", ""ПРОМЕЖУТОК ВРЕМЕНИ"", ""КОНЕЦ ВО ВРЕМЕНИ"", ""БУМ НА РЫНКЕ"", ""СПРОС НА ТОВАРЫ И УСЛУГИ"", ""ЭКОНОМИЧЕСКИЙ ПУЗЫРЬ""]"
49,🤤,"['утопление лица', 'Дроол']","[""116895-N"", ""106817-N""]","[""ТОПИТЬ, УТОПИТЬ"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ"", ""ТОПИТЬ, УТОПИТЬ"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ"", ""ТОПИТЬ, УТОПИТЬ"", ""ПРИНУДИТЬ, ЗАСТАВИТЬ""]"
50,😴,"['спать лицо', 'спать лицо', 'храп', 'zzz лицо']","[""114462-V"", ""106579-N"", ""138167-N"", ""2149-N"", ""114462-V"", ""106579-N"", ""138167-N"", ""2149-N"", ""113507-N"", ""107093-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""СОН, СОСТОЯНИЕ СНА"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ХРАПЕТЬ ВО СНЕ"", ""ИЗДАТЬ ЗВУК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ХРАПЕТЬ ВО СНЕ"", ""ИЗДАТЬ ЗВУК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СОН, СОСТОЯНИЕ СНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ХРАПЕТЬ ВО СНЕ"", ""ИЗДАТЬ ЗВУК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
51,😷,"['медицинская маска', 'коронавирус', 'covid-19', 'маска лицо', 'хирургическая маска']","[""154155-N"", ""126674-N"", ""154155-N"", ""126674-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""154155-N"", ""126674-N""]","[""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО""]"
52,🤒,"['термометр', 'больно', 'больно']","[""114296-N"", ""3648-N""]","[""ТЕРМОМЕТР"", ""ИЗМЕРИТЕЛЬНЫЙ ПРИБОР"", ""ТЕРМОМЕТР"", ""ИЗМЕРИТЕЛЬНЫЙ ПРИБОР"", ""ТЕРМОМЕТР"", ""ИЗМЕРИТЕЛЬНЫЙ ПРИБОР""]"
53,🤕,"['головокружение', 'группа голова', 'Клумси', 'раненый']","[""106567-N"", ""155113-N"", ""124624-N"", ""106508-N"", ""143687-N"", ""109080-N"", ""143622-N"", ""8406-A"", ""4846-A""]","[""ФИЗИЧЕСКОЕ САМОЧУВСТВИЕ"", ""УХУДШЕНИЕ САМОЧУВСТВИЯ"", ""ГОЛОВОКРУЖЕНИЕ"", ""ФИЗИЧЕСКОЕ САМОЧУВСТВИЕ"", ""УХУДШЕНИЕ САМОЧУВСТВИЯ"", ""ГОЛОВОКРУЖЕНИЕ"", ""СОВОКУПНОСТЬ, ЦЕЛОЕ"", ""ГРУППА, ОБЪЕДИНЕННАЯ ПО ОБЩЕМУ ПРИЗНАКУ"", ""ФИЗИЧЕСКОЕ САМОЧУВСТВИЕ"", ""УХУДШЕНИЕ САМОЧУВСТВИЯ"", ""ГОЛОВОКРУЖЕНИЕ"", ""СОВОКУПНОСТЬ, ЦЕЛОЕ"", ""ГРУППА, ОБЪЕДИНЕННАЯ ПО ОБЩЕМУ ПРИЗНАКУ"", ""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""ФИЗИЧЕСКОЕ САМОЧУВСТВИЕ"", ""УХУДШЕНИЕ САМОЧУВСТВИЯ"", ""ГОЛОВОКРУЖЕНИЕ"", ""СОВОКУПНОСТЬ, ЦЕЛОЕ"", ""ГРУППА, ОБЪЕДИНЕННАЯ ПО ОБЩЕМУ ПРИЗНАКУ"", ""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""ФИЗИЧЕСКОЕ САМОЧУВСТВИЕ"", ""УХУДШЕНИЕ САМОЧУВСТВИЯ"", ""ГОЛОВОКРУЖЕНИЕ"", ""СОВОКУПНОСТЬ, ЦЕЛОЕ"", ""ГРУППА, ОБЪЕДИНЕННАЯ ПО ОБЩЕМУ ПРИЗНАКУ"", ""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""РАНЕНЫЙ"", ""БОЛЬНОЙ ЧЕЛОВЕК""]"
54,🤢,"['Населенный лицо', 'дегуст', 'зеленое лицо', 'vomit']","[""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
55,🤮,"['лицо vomiting', 'Немного', 'бросать вверх', 'vomit']","[""106579-N"", ""138167-N"", ""2149-N"", ""106485-V"", ""128181-V""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПЕРЕСТАТЬ, ПРЕКРАТИТЬ (ЧТО-ТО ДЕЛАТЬ)"", ""ОТКАЗАТЬСЯ ОТ ПРОДОЛЖЕНИЯ, НАМЕРЕНИЙ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПЕРЕСТАТЬ, ПРЕКРАТИТЬ (ЧТО-ТО ДЕЛАТЬ)"", ""ОТКАЗАТЬСЯ ОТ ПРОДОЛЖЕНИЯ, НАМЕРЕНИЙ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПЕРЕСТАТЬ, ПРЕКРАТИТЬ (ЧТО-ТО ДЕЛАТЬ)"", ""ОТКАЗАТЬСЯ ОТ ПРОДОЛЖЕНИЯ, НАМЕРЕНИЙ""]"
56,🤧,"['снежное лицо', 'gesundheit']","[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
57,🥵,['горячее лицо'],"[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
58,🥶,['холодное лицо'],"[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
59,🥴,"['woozy лицо', 'пьяное лицо']","[""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
60,😵,"['крестные глаза', 'крест глаза лицо', 'спираль глаза лицо']","[""124155-N"", ""6886-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""125632-N"", ""119810-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ПРЕДМЕТ КУЛЬТА"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ПРЕДМЕТ КУЛЬТА"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ПРЕДМЕТ КУЛЬТА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ПРЕДМЕТ КУЛЬТА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СПИРАЛЬ (ВИНТООБР. ЛИНИЯ)"", ""КРИВАЯ ЛИНИЯ"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ПРЕДМЕТ КУЛЬТА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СПИРАЛЬ (ВИНТООБР. ЛИНИЯ)"", ""КРИВАЯ ЛИНИЯ"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ПРЕДМЕТ КУЛЬТА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СПИРАЛЬ (ВИНТООБР. ЛИНИЯ)"", ""КРИВАЯ ЛИНИЯ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
61,😵‍💫,"['спиральные глаза', 'головокружительное лицо']","[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
62,🤯,"['взрывая голова', 'ум взорван']","[""109080-N"", ""143622-N"", ""148416-N"", ""115479-N""]","[""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""МЕНТАЛЬНАЯ СПОСОБНОСТЬ"", ""УМ, ИНТЕЛЛЕКТ"", ""ПЕРЕДНЯЯ ЧАСТЬ"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""МЕНТАЛЬНАЯ СПОСОБНОСТЬ"", ""УМ, ИНТЕЛЛЕКТ""]"
63,🤠,"['Ковбой шляпа лицо', 'ковбой']","[""131722-N"", ""125721-N"", ""150507-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""РАСТЯПА, РОТОЗЕЙ"", ""РАССЕЯННЫЙ ЧЕЛОВЕК"", ""ЧЕЛОВЕК ПО ХАРАКТЕРУ"", ""РАСТЯПА, РОТОЗЕЙ"", ""РАССЕЯННЫЙ ЧЕЛОВЕК"", ""ЧЕЛОВЕК ПО ХАРАКТЕРУ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""РАСТЯПА, РОТОЗЕЙ"", ""РАССЕЯННЫЙ ЧЕЛОВЕК"", ""ЧЕЛОВЕК ПО ХАРАКТЕРУ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
64,🥳,['вечеринки лицо'],"[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
65,🥸,['замаскированное лицо'],"[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
66,😎,"['улыбающиеся солнцезащитные очки', 'круто', 'взаимные лучшие друзья (snapchat)', 'солнцезащитные очки']","[""3471-N"", ""3470-N"", ""113555-N"", ""3471-N"", ""3470-N"", ""113555-N""]","[""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ"", ""МЕДИЦИНСКАЯ ОПТИКА"", ""ОПТИЧЕСКОЕ ОБОРУДОВАНИЕ"", ""ОЧКИ""]"
67,🤓,"['нервное лицо', 'нерв']","[""106579-N"", ""138167-N"", ""2149-N"", ""106580-N"", ""113057-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ОРГАН ЖИВОГО ОРГАНИЗМА"", ""НЕРВ""]"
68,🧐,['монокле'],[],[]
69,😕,"['запутанное лицо', 'неплюсированный', 'головоломка', ':с']","[""106579-N"", ""138167-N"", ""2149-N"", ""138237-N"", ""154221-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЗАТРУДНЕНИЕ, ПРОБЛЕМА"", ""ГОЛОВОЛОМКА (ПРОБЛЕМА)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЗАТРУДНЕНИЕ, ПРОБЛЕМА"", ""ГОЛОВОЛОМКА (ПРОБЛЕМА)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЗАТРУДНЕНИЕ, ПРОБЛЕМА"", ""ГОЛОВОЛОМКА (ПРОБЛЕМА)""]"
70,😟,"['беспокоится лицо', 'печаль', 'Грусталь']","[""106579-N"", ""138167-N"", ""2149-N"", ""106661-N"", ""106651-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ГРУСТЬ"", ""ЧУВСТВО, ЭМОЦИЯ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ГРУСТЬ"", ""ЧУВСТВО, ЭМОЦИЯ""]"
71,🙁,"['слегка жареное лицо', 'немного грустно']","[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
72,☹️,"['жареное лицо', 'мегафроун']","[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
73,☹,"['жареное лицо', 'мегафроун']","[""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
74,😮,"['открытый рот', 'открытый рот', 'сюрприз']","[""106768-A"", ""118520-A"", ""109980-N"", ""111118-N"", ""106768-A"", ""118520-A"", ""109980-N"", ""111118-N"", ""137949-N"", ""9618-N""]","[""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""ПОЛОСТЬ ОРГАНИЗМА"", ""РОТОВАЯ ПОЛОСТЬ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""ПОЛОСТЬ ОРГАНИЗМА"", ""РОТОВАЯ ПОЛОСТЬ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""ПОЛОСТЬ ОРГАНИЗМА"", ""РОТОВАЯ ПОЛОСТЬ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""ПОЛОСТЬ ОРГАНИЗМА"", ""РОТОВАЯ ПОЛОСТЬ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""ПОЛОСТЬ ОРГАНИЗМА"", ""РОТОВАЯ ПОЛОСТЬ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""ЯВНЫЙ, ОТКРЫТЫЙ, НЕСКРЫВАЕМЫЙ"", ""ПОЛОСТЬ ОРГАНИЗМА"", ""РОТОВАЯ ПОЛОСТЬ"", ""СЮРПРИЗ (НЕОЖИДАННЫЙ ПОДАРОК)"", ""ПОДАРОК""]"
75,😯,"['обжаренное лицо', 'сюрприз', 'удивленное лицо']","[""106579-N"", ""138167-N"", ""2149-N"", ""137949-N"", ""9618-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЮРПРИЗ (НЕОЖИДАННЫЙ ПОДАРОК)"", ""ПОДАРОК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЮРПРИЗ (НЕОЖИДАННЫЙ ПОДАРОК)"", ""ПОДАРОК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""СЮРПРИЗ (НЕОЖИДАННЫЙ ПОДАРОК)"", ""ПОДАРОК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
